자치구,분류,시설명,주소,위도,경도,전화번호,비고,홈페이지,강습여부,실내/실외,주차장
중랑구,구기체육관,묵동다목적체육관,중랑구 숙선옹주로 66,37.6144169,127.0842018,949-5577,,http://www.jungnangimc.or.kr/,유,실내,주차 가능(일반 18면 / 장애인 2면)
중랑구,골프연습장,중랑청소년수련관 골프연습장,중랑구 용마산로 217,37.573171,127.0858392,490-0114 ,,http://www.jjang.or.kr/jjang/,유,실내,용마폭포공원 주차장 이용(시간당 1200원 / 5분당 100원)
중랑구,수영장,망우청소년수련관 수영장,중랑구 송림길 156,37.6058844,127.1088479,492-7942,,http://http://mangwoo.kr/,유,실내,주차 가능
중랑구,수영장,중랑문화체육관 수영장,중랑구 사가정로72길 47,37.5792399,127.0959499,436-9200,,http://jungnangspo.seoul.kr,유,실내,주차 가능(51면)
중랑구,수영장,중랑구민체육센터 수영장,중랑구 신내로15길 189,37.6151721,127.0874763,3423-1070,,http://jungnangspo.seoul.kr,유,실내,주차 가능(36면)
중랑구,생활체육관,중랑청소년수련관,중랑구 용마산로 217,37.573171,127.0858392,490-0114 ,,http://www.jjang.or.kr/jjang/,유,실내,용마폭포공원 주차장 이용(시간당 1200원 / 5분당 100원)
중랑구,생활체육관,망우청소년수련관,중랑구 송림길 156,37.6058844,127.1088479,492-7942,,http://http://mangwoo.kr/,유,실내,주차 가능
중랑구,생활체육관,면목2동체육관,중랑구 겸재로 23길 27,37.5878763,127.0808914,495-5200,,http://jungnangspo.seoul.kr,유,실내,공영주차장 회원 2시간 무료
중랑구,생활체육관,중랑구민체육센터,중랑구 신내로 15길 189,37.6151721,127.0874763,3423-1070,,http://jungnangspo.seoul.kr,유,실내,비회원 30분당 1000원 / 회원 3시간 무료
중랑구,생활체육관,중랑문화체육관,중랑구 사가정로72길 47,37.5792399,127.0959499,436-9200,,http://jungnangspo.seoul.kr,유,실내,주차 가능(51면)
중랑구,생활체육관,중랑구민체육센터,중랑구 신내로15길 189,37.6151721,127.0874763,3423-1070,,http://jungnangspo.seoul.kr,유,실내,주차 가능(36면)
중랑구,구기체육관,신내다목적체육관,중랑구 신내로 21길 115-14,37.6112146,127.0894479,3422-4350,8면,http://www.jungnangimc.or.kr/,유,실내,주차 불가
중구,골프연습장,회현체육센터 골프연습장,중구 퇴계로 12길 78,37.5560011,126.9816226,2280-8430,617.90㎡,http://www.e-junggu.or.kr,유,실내,2시간 무료
중구,구기체육관,장충체육관,중구 동호로 241,37.5581465,127.0065932,2128-2800,,http://www.sisul.or.kr/,무,실내,5분당 400원 / 1시간 4800원 / 3시간 14400원(63면)
중구,생활체육관,훈련원공원종합체육관,중구 을지로 227,37.5672983,127.0037006,2280-8397,,http://www.e-junggu.or.kr,유,실내,5분당 400원
중구,구기체육관,무학봉체육관,중구 난계로6길 8,37.5622347,127.0245439,2280-8426,,http://www.e-junggu.or.kr,무,실내,주차 가능(5면)
중구,생활체육관,회현체육센터,중구 퇴계로 12길 78,37.5560011,126.9816226,2280-8430,,http://www.e-junggu.or.kr,유,실내,2시간 무료
중구,생활체육관,충무아트홀 스포츠센터,중구 퇴계로 387,37.5660139,127.0148131,5580-8400,,http://www.e-junggu.or.kr,유,실내,주차권 미구매자 10분당 500원
중구,생활체육관,남산타운문화체육센터,중구 다산로 32,37.5491389,127.0093824,2280-8480,,http://www.e-junggu.or.kr,유,실내,주차 가능
중구,생활체육관,장충문화체육센터,중구 퇴계로 50길 59,37.5599201,127.001293,2280-8466,,http://www.e-junggu.or.kr,유,실내,장충공영주차장
