자치구,분류,시설명,x좌표,y좌표
서초구,테니스장,반포종합운동장 테니스장,126.995446,37.501271
중랑구,수영장,중랑천물놀이시설,127.0773483,37.580646
중랑구,학교체육시설,면일초등학교,127.099679,37.592125
중랑구,테니스장,용마폭포공원테니스장,127.0891138,37.5733026
중랑구,축구장,용마폭포공원축구장,127.0891138,37.5733026
중랑구,클라이밍장,중랑스포츠클라이밍경기장,127.0891138,37.5733026
중랑구,야구장,신내차량기지체육시설,127.1077606,37.6115753
중랑구,테니스장,신내3지구 중랑IC하부,127.114493,37.61176
중랑구,축구장,중랑구립잔디운동장,127.1130279,37.6068611
중랑구,축구장,신내차량기지체육시설,127.1077606,37.6115753
중랑구,축구장,용마폭포공원축구장,127.0891138,37.5733026
중구,게이트볼장,손기정체육공원게이트볼장,126.9656754,37.5566797
중구,족구장,손기정체육공원족구장,126.964253,37.5547643
중구,학교체육시설,봉래초등학교,126.963877,37.556395
중구,학교체육시설,청구초등학교,127.013933,37.558454
중구,학교체육시설,장충고등학교,127.006451,37.552681
중구,국궁장,석호정,126.9998343,37.5544763
중구,야구장,장충리틀야구장,126.9948616,37.5535321
중구,축구장,손기정체육공원 인조잔디축구장,126.965988,37.556458
중구,테니스장,손기정체육공원테니스장,126.96648,37.554285
중구,테니스장,KTA장충장호테니스장 ,127.001957,37.55438
종로구,배드민턴장,인왕배드민턴장,126.9624337,37.5801935
종로구,배드민턴장,무악배드민턴장,126.9583863,37.5778359
종로구,배드민턴장,중앙배드민턴장,126.9656769,37.5770359
종로구,배드민턴장,숭인공원배드민턴장,127.0180263,37.5768198
종로구,배드민턴장,삼청공원배드민턴장,126.9803132,37.5893704
종로구,배드민턴장,와룡공원배드민턴장,126.9871209,37.5897312
종로구,테니스장,삼청테니스장,126.9803132,37.5893704
종로구,학교체육시설,청운초등학교,126.969468,37.585788
종로구,국궁장,황학정 ,126.964215,37.577925
은평구,테니스장,장미동산테니스장,126.9391849,37.6065933
은평구,풋살장,진관풋살구장,126.9165091,37.629995
은평구,풋살장,증산풋살구장,126.9032884,37.5843135
은평구,배구장,은평구생활체육광장,126.9032884,37.5843135
은평구,족구장,은평구생활체육광장,126.9032884,37.5843135
은평구,농구장,은평구생활체육광장,126.9032884,37.5843135
은평구,축구장,은평구생활체육광장,126.9032884,37.5843135
은평구,테니스장,은평구민체육센터 테니스장,126.9236287,37.6304386
은평구,축구장,은평구립축구장,126.9246861,37.6305699
은평구,학교체육시설,예일여자고등학교,126.915369,37.610748
은평구,학교체육시설,증산초등학교,126.904188,37.582793
은평구,게이트볼장,진관게이트볼장,126.9308276,37.6444095
은평구,게이트볼장,기자촌근린공원 게이트볼장,126.9368536,37.6324813
은평구,게이트볼장,신사근린공원 게이트볼장,126.909889,37.5918604
은평구,게이트볼장,장미동산게이트볼장,126.9391849,37.6065933
용산구,농구장,효창공원 농구장,126.9597415,37.5450249
용산구,배드민턴장,동작대교하부 배드민턴장,126.983225,37.518032
용산구,게이트볼장,동작대교하부 게이트볼장,126.9832381,37.5179703
용산구,학교체육시설,삼광초등학교,126.976576,37.547213
용산구,학교체육시설,중경고등학교,126.975711,37.517753
용산구,학교체육시설,이태원초등학교,126.987992,37.536017
