분류,시설명,행정동
간이운동장,돌   뫼,석관동
간이운동장,동   방,장위제1동
간이운동장,동   산,길음제2동
간이운동장,밤   골,길음제2동
간이운동장,삼   선,삼선동
간이운동장,샛   별,석관동
간이운동장,종   암,종암동
간이운동장,햇   살,월곡제2동
간이운동장,향   기,월곡제2동
간이운동장,고암,종암동
간이운동장,매화,정릉제1동
간이운동장,솔숲,정릉제1동
간이운동장,한울,정릉제1동
간이운동장,아현 녹지,아현동
체육관,성북 펜싱 체육관,종암동
간이운동장,서교 걷고 싶은거리쉼터,서교동
간이운동장,쌍문 근린공원,쌍문제1동
간이운동장,창동 공공공지,창제1동
간이운동장,남산 게이트볼장,내곡동
간이운동장,신양 동네체육시설,혜화동
간이운동장,천연 야외운동시설,천연동
간이운동장,홍제 야외운동시설,홍제제1동
간이운동장,응봉(한마음) 배드민턴장,신당동
국궁장,관악정,서원동
간이운동장,깃대봉,종로1·2·3·4가동
간이운동장,꿈나라,보문동
간이운동장,동망봉,보문동
간이운동장,두산힐,반포본동
간이운동장,등산로,암사제1동
간이운동장,등산로,암사제1동
간이운동장,맑은숲,장위제1동
간이운동장,배밭골,정릉제1동
간이운동장,범바위,안암동
간이운동장,새소리,동선동
간이운동장,솔향기,길음제1동
간이운동장,족구장,남가좌제1동
간이운동장,테스트,영등포본동
골프연습장,테스트,방이1동
간이운동장,해맑은,길음제1동
간이운동장,홍제동,홍제제1동
국궁장,황학정,사직동
간이운동장,궁도장 옆,시흥제1동
간이운동장,천불사 옆,시흥제1동
간이운동장,광성고 옆 쉼터,대흥동
간이운동장,녹천역 앞 광장,월계1동
간이운동장,대흥동 쉼터,용강동
간이운동장,백련교 우안 상류 간이운동장,홍은제1동
간이운동장,사천교 우안 상류 간이운동장,남가좌제1동
간이운동장,연가교 우안 상류 간이운동장,남가좌제1동
간이운동장,와산교 좌안 하류 간이운동장,북가좌제1동
간이운동장,해담는 다리 좌안 간이운동장,북가좌제1동
간이운동장,홍제교 좌안 상류 간이운동장,홍제제1동
간이운동장,광장동 실내 배드민턴장,광장동
간이운동장,포방교 상류 간이운동장,홍제제1동
간이운동장,구일역 풋살장,구로제1동
간이운동장,중랑천 노원교 밑,도봉제1동
간이운동장,중랑천 녹천교 밑,상계1동
간이운동장,중랑천 창동교 밑,창제1동
간이운동장,창전동 보호수 정자마당,서강동
간이운동장,공덕동 체육시설,아현동
간이운동장,도화동 체육시설,공덕동
간이운동장,방학동 공공공지,방학제1동
간이운동장,신남동 테니스장,혜화동
간이운동장,연남동 체육시설,연남동
간이운동장,우이천 번창교밑,창제1동
간이운동장,우이천 수유교밑 분수대옆,쌍문제1동
간이운동장,우이천 수유교밑(하천) 시설,창제1동
간이운동장,구일역 게이트볼장,구로제1동
간이운동장,매봉산 배드민턴장,신당동
간이운동장,목감천 배드민턴장,개봉제1동
간이운동장,성산동 게이트볼장,성산제1동
간이운동장,안양천 파크골프장(우안),신도림동
간이운동장,안양천 파크골프장(좌안),고척제1동
간이운동장,북아현 야외운동시설,북아현동
간이운동장,영천동 야외운동시설,천연동
간이운동장,우면산 도시자연공원,서초3동
체육관,광장동 실내배드민턴장,광장동
간이운동장,목감천 인라인스케이트장,개봉제1동
간이운동장,대치교_남단,대치1동
간이운동장,농구장(구일역),구로제1동
간이운동장,농구장(도림천),신도림동
간이운동장,농구장(동양미래대 앞),고척제1동
간이운동장,농구장(오류고가하부),오류1동
간이운동장,가꿀공원,서초3동
간이운동장,개뜰공원,양재1동
간이운동장,개포공원,종로1·2·3·4가동
간이운동장,계리공원,양재1동
간이운동장,공항해태,공항동
간이운동장,교대공원,서초1동
간이운동장,구룡공원,양재1동
간이운동장,군민회관,혜화동
간이운동장,궁현공원,서초1동
간이운동장,나리공원,반포본동
간이운동장,농구골대,남가좌제1동
간이운동장,늘벗공원,혜화동
간이운동장,능안공원,내곡동
간이운동장,당골공원,서초1동
간이운동장,대림경동,염창동
간이운동장,대우효령,서초3동
간이운동장,대진공원,개포1동
간이운동장,대청공원,개포2동
간이운동장,대치공원,혜화동
간이운동장,댓골마당,시흥제1동
간이운동장,도산공원,신사제1동
간이운동장,도시공원,사당제1동
간이운동장,도시공원,상도제1동
간이운동장,도시공원,상도제1동
간이운동장,도시공원,흑석동
간이운동장,도시공원,흑석동
간이운동장,도시공원,흑석동
간이운동장,도시공원,상도제1동
간이운동장,도시공원,사당제1동
간이운동장,도시공원,상도제1동
간이운동장,도시공원,사당제1동
간이운동장,도시공원,상도제1동
간이운동장,도시공원,대방동
간이운동장,도시공원,보라매동
간이운동장,도시공원,사당제1동
간이운동장,도시공원,대방동
간이운동장,도시공원,상도제1동
간이운동장,도시공원,상도제1동
간이운동장,도시공원,노량진제1동
간이운동장,도시공원,사당제2동
간이운동장,도시공원,상도제1동
간이운동장,도시공원,사당제2동
간이운동장,도시공원,대방동
간이운동장,도시공원,사당제2동
간이운동장,도시공원,사당제1동
간이운동장,도시공원,사당제1동
간이운동장,도시공원,상도제1동
간이운동장,도시공원,사당제2동
간이운동장,도시공원,사당제1동
간이운동장,독골공원,도곡1동
간이운동장,동문공원,양재1동
간이운동장,동산공원,양재1동
간이운동장,뒷벌공원,서초3동
간이운동장,만남공원,반포본동
간이운동장,미도공원,반포본동
간이운동장,미래푸메,서초3동
간이운동장,미륵공원,내곡동
간이운동장,반원공원,잠원동
간이운동장,반월공원,신월1동
간이운동장,반포리체,반포본동
간이운동장,반포자이,반포본동
간이운동장,반포주공,반포본동
간이운동장,반포주공,반포본동
간이운동장,방현공원,서초3동
간이운동장,방화동성,공항동
간이운동장,봉은공원,혜화동
간이운동장,비석공원,양재1동
간이운동장,새말공원,서초3동
간이운동장,새터공원,잠원동
간이운동장,샛별공원,양재1동
간이운동장,서원공원,서초3동
간이운동장,서초자이,서초1동
간이운동장,신동공원,잠원동
간이운동장,신사공원,혜화동
간이운동장,아름공원,잠원동
간이운동장,안골공원,내곡동
간이운동장,안산공원,서초3동
간이운동장,암산공원,양재1동
간이운동장,양재공원,양재1동
간이운동장,역삼공원,역삼1동
간이운동장,염곡공원,내곡동
간이운동장,염창무학,염창동
간이운동장,예술공원,서초1동
간이운동장,예지공원,개포1동
간이운동장,용말공원,양재1동
간이운동장,윗샘공원,내곡동
간이운동장,잔디공원,양재1동
간이운동장,장미공원,반포본동
간이운동장,장안공원,서초1동
간이운동장,잿말공원,양재1동
간이운동장,점말공원,잠원동
간이운동장,정문공원,서초3동
간이운동장,주민센터,염창동
간이운동장,주민센터,염창동
간이운동장,주민센터,발산제1동
간이운동장,주민센터,염창동
간이운동장,주민센터,화곡제1동
간이운동장,주민센터,등촌제1동
간이운동장,주민센터,홍제제1동
간이운동장,주민센터,등촌제1동
간이운동장,주민센터,염창동
간이운동장,주민센터,등촌제1동
간이운동장,주민센터,화곡제1동
간이운동장,주민센터,화곡제1동
간이운동장,주민센터,화곡제1동
간이운동장,주민센터,화곡제1동
간이운동장,주민센터,화곡제1동
간이운동장,주민센터,화곡제1동
간이운동장,주흥공원,잠원동
간이운동장,청담공원,혜화동
간이운동장,청두공원,서초3동
간이운동장,청룡공원,반포본동
간이운동장,청룡공원,혜화동
간이운동장,청수공원,혜화동
간이운동장,체육공원,면목제2동
간이운동장,체육공원,면목제2동
간이운동장,체육공원,중화제1동
간이운동장,초룡공원,반포본동
간이운동장,코아공원,잠원동
간이운동장,탄천공원,이화동
간이운동장,푸른공원,반포본동
간이운동장,학동공원,혜화동
간이운동장,학동공원,논현1동
간이운동장,한강타운,염창동
간이운동장,한솔공원,종로1·2·3·4가동
간이운동장,한수공원,반포본동
간이운동장,한티공원,이화동
간이운동장,햇불공원,양재1동
간이운동장,현대성우,서초1동
간이운동장,황실자이,서초3동
간이운동장,효자공원,양재1동
간이운동장,상수쉼터,서강동
