자치구,행정동,사업장명,경도,위도
금천구,시흥동,박산경로당,126.9065254,37.43504192
금천구,시흥동,현대빌라경로당,126.9020015,37.43954099
금천구,시흥동,현대빌라경로당,126.9020015,37.43954099
금천구,시흥동,금산경로당,126.9071664,37.4412706
서초구,원지동,원지경로당,127.0567915,37.44347639
서초구,신원동,서초포레스타6단지(아)경로당,127.062171,37.44401898
금천구,시흥동,중앙하이츠빌라경로당,126.9066093,37.44429667
금천구,시흥동,탑동경로당,126.9084522,37.4476688
금천구,시흥동,효정경로당,126.9084522,37.4476688
금천구,시흥동,벽산타운경로당,126.9184421,37.44791606
금천구,시흥동,벽산아파트 5단지 경로당,126.9184421,37.44791606
금천구,시흥동,대덕트윈빌 아파트 경로당,126.9106208,37.44793798
금천구,시흥동,탑스빌아파트경로당,126.9158682,37.44874986
금천구,시흥동,건영아파트경로당,126.9107926,37.44928521
금천구,시흥동,건영아파트경로당,126.9107926,37.44928521
금천구,시흥동,관악우방아파트경로당,126.9134398,37.44937782
금천구,시흥동,관악우방아파트 경로당,126.9134398,37.44937782
금천구,시흥동,읍내경로당,126.9063341,37.45041497
금천구,시흥동,럭키아파트경로당,126.8994399,37.45047598
금천구,시흥동,산장경로당,126.9139046,37.450795
금천구,시흥동,성지아파트경로당,126.8979237,37.4508531
금천구,시흥동,백운한비치1차아파트경로당,126.911863,37.45148043
금천구,시흥동,산복(벽산아파트제2단지임대)경로당,126.919034,37.4519513
금천구,시흥동,벽산아파트제1단지경로당,126.919034,37.4519513
금천구,시흥동,시흥1동 대명경로당,126.9056634,37.45218736
금천구,독산동,철쭉경로당,126.8898432,37.45304089
금천구,독산동,철쭉경로당,126.8898432,37.45304089
금천구,시흥동,시흥2동 벽산아파트 5단지경로당,126.917764,37.453133
금천구,시흥동,벽산아파트3단지경로당,126.917764,37.453133
금천구,시흥동,벽산아파트3단지경로당,126.917764,37.453133
서초구,내곡동,구립홍씨마을경로당,127.0654186,37.45316324
금천구,시흥동,백운한비치2차아파트경로당,126.9098663,37.45349774
서초구,원지동,구립새원마을경로당,127.0499443,37.45385204
서초구,신원동,본마을경로당,127.0534136,37.45443538
서초구,내곡동,구립능안마을경로당,127.0662898,37.45461464
금천구,시흥동,시흥경남아파트경로당,126.9066235,37.45464878
서초구,내곡동,신흥내곡경로당,127.0809558,37.45475498
금천구,독산동,한신아파트경로당,126.8893527,37.45555489
금천구,독산동,한신아파트경로당,126.8893527,37.45555489
서초구,내곡동,안골마을경로당,127.0633908,37.45597451
금천구,시흥동,무지개아파트경로당,126.8983507,37.45604961
금천구,독산동,참새공원경로당,126.886897,37.45687399
금천구,독산동,참새공원 경로당,126.886897,37.45687399
금천구,시흥동,신흥경로당,126.9073523,37.45702317
서초구,우면동,식유촌 경로당,127.0123311,37.45746159
서초구,염곡동,탑성마을경로당,127.0565235,37.45797112
서초구,내곡동,샘마을 경로당,127.0714804,37.4581608
관악구,신림동,삼광경로당,126.9328785,37.45890939
관악구,신림동,휴먼시아(아)제4경로당,126.9200388,37.45910908
관악구,신림동,휴먼시아(아)제3경로당,126.9200388,37.45910908
관악구,신림동,휴먼시아(아)제5경로당,126.9200388,37.45910908
관악구,신림동,휴먼시아(아)3단지경로당,126.9200388,37.45910908
관악구,신림동,휴먼시아(아)제2경로당,126.9200388,37.45910908
금천구,시흥동,새재미경로당,126.9041831,37.45912657
서초구,내곡동,헌인내곡경로당,127.0896122,37.45956186
서초구,내곡동,현인내곡경로당,127.0896122,37.45956186
금천구,독산동,주공14단지아파트경로당,126.8864838,37.46008471
금천구,독산동,주공14단지아파트경로당,126.8864838,37.46008471
서초구,우면동,서초구립송동마을경로당,127.0171036,37.46015899
관악구,신림동,국회단지경로당,126.9149824,37.46031715
금천구,독산동,라이프아파트 꽃마음경로당,126.89227,37.46108034
관악구,신림동,대우신림2차푸르지오아파트경로당,126.9199086,37.46134423
서초구,염곡동,서초구립염곡경로당,127.0507358,37.4617844
서초구,염곡동,구립염곡할아버지경로당,127.0507358,37.4617844
서초구,염곡동,구립염곡할머니경로당,127.0507358,37.4617844
관악구,신림동,율곡경로당,126.93024,37.46188742
관악구,남현동,관악정경로당,126.9794483,37.46224563
금천구,독산동,금천현대아파트경로당,126.890337,37.46226691
관악구,신림동,삼성산주공(아)경로당,126.9261292,37.46250743
서초구,우면동,서초네이처힐5단지 경로당,127.0248294,37.46251854
관악구,신림동,난향경로당,126.9154845,37.46257941
금천구,시흥동,장수경로당,126.907629,37.46283581
금천구,독산동,만수경로당,126.9010257,37.46294345
금천구,시흥동,시흥금강아파트경로당,126.9080055,37.46310199
금천구,시흥동,삼익아파트경로당,126.9094135,37.46337915
금천구,시흥동,삼익아파트경로당,126.9094135,37.46337915
서초구,우면동,서초네이처힐4단지 경로당,127.0262335,37.46363441
서초구,내곡동,흐능날 경로당,127.0848441,37.46380193
관악구,신림동,신림동벽산블루밍(아)경로당,126.9311785,37.46389038
관악구,신림동,주공2단지(아)경로당,126.9265319,37.46404589
강남구,세곡동,윗반고개마을경로당,127.1067603,37.46444371
강남구,세곡동,반고개경로당,127.1067603,37.46444371
강남구,세곡동,강남LH1단지(아)경로당,127.1067603,37.46444371
