,사업장명,위도,경도,ADDRESS
0,박산경로당,37.43504192,126.90652539999999,시흥동
1,현대빌라경로당,37.43954099,126.90200149999998,시흥동
2,현대빌라경로당,37.43954099,126.90200149999998,시흥동
3,금산경로당,37.4412706,126.90716640000001,시흥동
4,원지경로당,37.44347639,127.0567915,원지동
5,서초포레스타6단지(아)경로당,37.44401898,127.06217099999999,신원동
6,중앙하이츠빌라경로당,37.44429667,126.90660929999999,시흥동
7,탑동경로당,37.447668799999995,126.90845220000001,시흥동
8,효정경로당,37.447668799999995,126.90845220000001,시흥동
9,벽산타운경로당,37.44791606,126.91844209999998,시흥동
10,벽산아파트 5단지 경로당,37.44791606,126.91844209999998,시흥동
11,대덕트윈빌 아파트 경로당,37.44793798,126.91062079999999,시흥동
12,탑스빌아파트경로당,37.44874986,126.9158682,시흥동
13,건영아파트경로당,37.44928521,126.9107926,시흥동
14,건영아파트경로당,37.44928521,126.9107926,시흥동
15,관악우방아파트경로당,37.44937782,126.9134398,시흥동
16,관악우방아파트 경로당,37.44937782,126.9134398,시흥동
17,읍내경로당,37.45041497,126.9063341,시흥동
18,럭키아파트경로당,37.45047598,126.8994399,시흥동
19,산장경로당,37.450795,126.91390459999998,시흥동
20,성지아파트경로당,37.4508531,126.89792369999999,시흥동
21,백운한비치1차아파트경로당,37.45148043,126.91186299999998,시흥동
22,산복(벽산아파트제2단지임대)경로당,37.4519513,126.91903400000001,시흥동
23,벽산아파트제1단지경로당,37.4519513,126.91903400000001,시흥동
24,시흥1동 대명경로당,37.45218736,126.90566340000001,시흥동
25,철쭉경로당,37.45304089,126.8898432,독산동
26,철쭉경로당,37.45304089,126.8898432,독산동
27,시흥2동 벽산아파트 5단지경로당,37.453133,126.91776399999999,시흥동
28,벽산아파트3단지경로당,37.453133,126.91776399999999,시흥동
29,벽산아파트3단지경로당,37.453133,126.91776399999999,시흥동
30,구립홍씨마을경로당,37.45316324,127.0654186,내곡동
31,백운한비치2차아파트경로당,37.45349774,126.90986629999999,시흥동
32,구립새원마을경로당,37.45385204,127.04994429999999,원지동
33,본마을경로당,37.45443538,127.0534136,신원동
34,구립능안마을경로당,37.45461464,127.0662898,내곡동
35,시흥경남아파트경로당,37.45464878,126.90662350000001,시흥동
36,신흥내곡경로당,37.45475498,127.0809558,내곡동
37,한신아파트경로당,37.45555489,126.8893527,독산동
38,한신아파트경로당,37.45555489,126.8893527,독산동
39,안골마을경로당,37.45597451,127.06339080000001,내곡동
40,무지개아파트경로당,37.45604961,126.8983507,시흥동
41,참새공원경로당,37.45687399,126.88689699999999,독산동
42,참새공원 경로당,37.45687399,126.88689699999999,독산동
43,신흥경로당,37.45702317,126.9073523,시흥동
44,식유촌 경로당,37.45746159,127.0123311,우면동
45,탑성마을경로당,37.45797112,127.05652350000001,염곡동
46,샘마을 경로당,37.458160799999995,127.0714804,내곡동
47,삼광경로당,37.45890939,126.93287849999999,신림동
48,휴먼시아(아)제4경로당,37.45910908,126.9200388,신림동
49,휴먼시아(아)제3경로당,37.45910908,126.9200388,신림동
50,휴먼시아(아)제5경로당,37.45910908,126.9200388,신림동
51,휴먼시아(아)3단지경로당,37.45910908,126.9200388,신림동
52,휴먼시아(아)제2경로당,37.45910908,126.9200388,신림동
