사업장명,행정동
덕수노인교실,성북동
늘푸른노인교실,동소문동
(사)대한노인회성북구지회부설 노인교실,안암동
개동경로대학,정릉동
개동경로대학,정릉동
정릉4동 시니어아카데미,정릉동
돈암시니어노인교실,동선동
종암노인교실,종암동
백영관대학,방화동
로뎀어르신행복학교,방화동
양천실버교실,신월동
동천 노인교실,신길동
제일소망대학,마천동
다사랑노인교실,대림동
영암교회 노인교실,신길동
영중 경로대학,영등포동
영등포50플러스센터,여의도동
노인체력단련교실,신길동
양평2동 노인교실,양평동
노원50플러스센터,상계동
천주교 광장동성당 효경대학,광장동
구의교실,구의동
광장노인교실,광장동
권드인베드로대학,자양동
평화노인교실,고척동
백삼노인교실,개봉동
구로3동 성당 노인대학,구로동
오류동장로교회노인교실,오류동
늘푸른노인교실,구로동
오류남부교회 소망경로대학,오류동
광진실버대학,개봉동
구로3동성당노인대학,구로동
천주교고척동교회부설고척노인교실,고척동
대한노인회구로지회부설노인교실,구로동
가리봉노인교실,가리봉동
시립 구로노인종합복지관 노인교실,구로동
대한노인회구로구지회부설노인교실,구로동
고척노인교실,고척동
개봉노인교실,개봉동
신성노인교실,구로동
사랑의집 노인교실,창전동
서울노인교실,염리동
서현노인교실,서교동
잔다리은빛 노인교실,서교동
서교동성당 노인성지대학,서교동
성가정 노인교실,염리동
마포 노인교실,염리동
서서울 노인교실,망원동
동막 노인교실,대흥동
베드로노인교실,공덕동
염리노인대학,염리동
성산동성당백삼위성인대학,성산동
나사렛 노인교실,상암동
성결 노인교실,신수동
성산종합사회복지관 부설 노인교실,성산동
대한노인회 마포지회부설 노인교실,용강동
아브라함 노인교실,성산동
행복노인교실,시흥동
시흥노인교실,시흥동
제일노인교실,시흥동
성가정시니어아카데미,독산동
신일노인교실,독산동
세광노인교실,시흥동
반석노인교실,독산동
대림2동 노인교실,대림동
삼광교회 노인교실,양평동
당산시니어아카데미,당산동
발산동성당 볏고을 시니어아카데미,화곡동
호산나 실버대학,하계동
염산노인교실,염리동
강남노아대학 노인교실,세곡동
신원예닮노인교실,신림동
망우동성당 늘푸른대학 노인교실,망우동
양원성당 요셉대학 노인교실,망우동
장수대학,잠원동
사랑마을 목교학교,서초동
반포4동실버대학,반포동
산성실버대학,반포동
수표표교회서초노인대학,서초동
반포푸른대학,반포동
비오시니어아카데미,서초동
석문시니어아카데미,서초동
서초노인대학,서초동
시온경로대학,방배동
효성교회노인교실,방배동
반포시니어아카데미,반포동
포이 시니어아카데미,양재동
은빛시니어아카데미,방배동
까리따스노인교실,방배동
천주교방배동교회 요셉노인대학,방배동
신답교회은빛노인교실,답십리동
태평경로대학,장안동
이문동교회샬롬노인교실,이문동
동안노인교실,이문동
솔로몬노인대학,제기동
장안동노인교실,장안동
성모노인교실,전농동
수산노인교실,전농동
희망샘노인교실,답십리동
전농노인교실,전농동
전농노인교회,전농동
동대문노인교실,전농동
장수노인교실,답십리동
동천교회,장안동
반석노인교실,답십리동
근화노인교실,신당동
(사)대한노인회중구지회부설노인교실,신당동
한일교회노인교실,신당동
향우노인교실,을지로
한국마사회 영등포문화공감센터 노인교실,영등포동
성민사랑노인교실,대림동
영등포성당시니어아카데미,영등포동
새생활장수노인교실,신길동
대길장수대학,신길동
문래시니어노인교실,문래동
성요셉시니어아카데미,신길동
(사)대한노인회 영등포구지회부설 노인교실,영등포동
구립모랫말노인교실,도림동
성락시니어아카데미,신길동
은평 노인교실,길동
암사노인교실,암사동
천호동 성결교회 노인대학,길동
노리터 노인교실,천호동
구립 장수춤신바람 노인교실,천호동
혜림노아스쿨,성내동
소리마을 노인교실,천호동
동암경로학교,암사동
목양청노대학,성내동
천주교고덕동교회노인교실,고덕동
천호동성당노인교실,천호동
참사랑노인대학,성내동
길동교회노인교실,길동
성내노인교실,성내동
고덕시니어아카데미,고덕동
천호학구단위노인교실,천호동
강동복지관노인교실,천호동
(사)대한노인회 강동구지회부설 노인교실,명일동
시니어문화교실,상도동
구구팔팔시니어아카데미,노량진동
동작50+센터,노량진동
흑석시니어아카데미,흑석동
은빛 노인교실,상도동
삼광노인교실,사당동
벧엘평생 노인교실,흑석동
명수대 노인교실,흑석동
강남노인교실,노량진동
막달레나노인교실,신대방동
성가정노인교실,상도동
로사리오노인교실,사당동
영은 노인교실,양평동
남서울노인교실,신길동
성 바오로 시니어아카데미,대림동
신현실버대학,대현동
청춘아카데미,신림동
하늘산성 노인대학,마천동
양천교회어르신문화교실,가양동
아름다운은빛 실버대학,방화동
서림동 현대아파트 실버교실,신림동
시흥중앙교회 시니어아카데미,시흥동
행복실버대학,창신동
연동실버아카데미,연지동
서대문교회실버대학,송월동
해돋는마을 노인교실,동자동
해돋는마을 노인교실,동자동
해돋는마을 노인교실,동자동
해돋는마을 노인교실,동자동
해돋는마을 노인교실,동자동
이태원교회 실버아카데미,이태원동
대한노인회 용산노인대학,효창동
한남동성당 안나 노인교실,한남동
해돋는마을 노인교실,동자동
한강교회 행복대학,이촌동
해돋는마을 노인교실,동자동
새남터성당 시니어아카데미,이촌동
염천교회 늘푸른대학,갈월동
용산성당 성모성심 아카데미,산천동
해방경로대학,용산동
해방교회 경로대학,용산동
해방촌성당 성가정 노인교실,용산동
동성교회 경로대학,동자동
영주노인대학,후암동
영주교회 노인교실,후암동
이촌동교회노인교실,이촌동
도원동교회 노인교실,도원동
청암교회 노인교실,청파동
(사)대한노인회용산지회노인교실,효창동
대한노인회서울특별시연합회부설노인교실,효창동
후암동성당 시니어아카데미,후암동
청파동성당 시니어아카데미,청파동
한강성당 대건 노인대학,이촌동
세광교회 노인교실,이태원동
대한노인회용산구지회,이촌동
이태원성당 상아탑 노인교실,이태원동
충신평생대학,이촌동
구산교회 실버대학,구산동
역촌 시니어 아카데미,역촌동
한성늘푸른대학,응암동
서울인생이모작지원센터,녹번동
서문교회 장수대학,응암동
오병이어,대조동
은평감리교회 평생교육원,녹번동
서광 어르신대학,갈현동
늘푸른교실,갈현동
은평교회노인교실,역촌동
로뎀노인교실,불광동
연신내성당 노인교실,불광동
응암 시니어 아카데미,응암동
천주교불광동성당노인교실,불광동
향후노인교실,역촌동
응암교회노인교실,응암동
역촌동 노인교실,역촌동
연신내성당노인교실,불광동
녹번동성령강림노인교실,녹번동
수색시니어 아카데미,증산동
갈현성당노인교실,갈현동
은평제일노인교실,불광동
안디옥노인교실,신사동
신사노인교실,신사동
성진교회 늘푸른대학,성수동
성답경로대학,용답동
성답경로대학,용답동
금호경로대학,금호동
금호경로대학,금호동
성은교회 늘푸른대학,하왕십리동
어르신성경대학,옥수동
소망대학,행당동
안나회,금호동
왕십리교회노인교실,상왕십리동
금호제일노인대학,금호동
성심노인교실,홍익동
대한노인회서울특별시연합회부설노인교실,마장동
대한노인회서울특별시연합회부설노인교실,마장동
비전노인교실,송정동
한빛효대학,신월동
평광교회 GS(Golden Senior) 대학,목동
신월중앙교회 평생대학,신월동
대한교회 노인교실,신정동
목동중앙 노인교실,신정동
소명교회 노인교실,신월동
새마음노인교실,신월동
늘푸른 실버대학,신월동
샘터 노인교실,목동
목동교회 노인교실,목동
신월동성당노인교실,신월동
사랑 노인교실,신월동
참살이노인교실,신월동
금빛새마을금고 노인교실,신월동
실로암 방주교회 노인교실,신정동
신정노인교실,신월동
반석교회노인교실,신정동
한성교회노인교실,신정동
해나리은빛 노인교실,목동
열린실버 노인교실,신월동
목민대학 노인교실,신정동
산돌교회 노인교실,목동
등촌교회 노인교실,목동
한성교회 노인교실,신정동
목동성당 로사리오 노인교실,신정동
에덴노인교실,목동
요셉노인교실,신정동
천주교등촌성당 요셉노인교실,목동
(사)대한노인회 양천구지회 부설 노인교실,신정동
양천노인교실,목동
강남교회노인교실,신월동
명문노인교실,신정동
동아노인교실,신월동
번동노인교실,번동
삼양교회 소망회,미아동
신성북교회노인교실,미아동
백운노인대학,수유동
강북성실노인교실,수유동
강북성실노인교실,수유동
성베드로노인교실,수유동
늘푸른노인교실,미아동
요한노인교실,미아동
제일노인교실,미아동
상록노인교실,미아동
행운동 시니어 아카데미,봉천동
