,시설명,경도,위도,ADDRESS
0,성북구립 상월곡실버복지센터,37.60585405,127.04823359999999,상월곡동
1,서초구립양재노인종합복지관,37.48302001,127.04081599999999,양재동
2,강서구립봉제산노인복지센터,37.54152282,126.85140790000001,화곡동
3,시립중랑노인종합복지관,37.58843496,127.0778419,면목동
4,강남구립강남노인종합복지관,37.51591066,127.0521426,삼성동
5,강북노인종합복지관,37.63568682,127.01875259999998,수유동
6,북가좌2동노인복지센터,37.58120413,126.9179051,북가좌동
7,양천어르신종합복지관,37.51044253,126.85862790000002,신정동
8,연희노인여가복지시설,37.57224104,126.9235398,연희동
9,시립은평노인종합복지관,37.63225081,126.9299824,진관동
10,도봉동어르신복지관,37.68212785,127.0435807,도봉동
11,구립역촌노인복지관,37.60334272,126.91137109999998,역촌동
12,구립갈현노인복지관,37.62488746,126.9186706,갈현동
13,약수노인복지관,37.55247063,127.0093304,신당동
14,송파노인종합복지관,37.49866846,127.0948956,삼전동
15,동작노인종합복지관,37.50039046,126.92910970000001,대방동
16,성북구립 장위실버복지센터,37.62008856,127.05351399999999,장위동
17,구립중화경로복지관,37.60330431,127.0811539,중화동
18,시립성북노인종합복지관,37.59779025,127.0344101,종암동
19,시립노원노인종합복지관,37.64344507,127.0733372,하계동
20,시립용산노인종합복지관,37.53133868,127.006498,한남동
21,서울시립강서노인종합복지관,37.558123200000004,126.84755159999999,등촌동
22,관악노인종합복지관,37.49304069,126.9263301,봉천동
23,서울노인복지센터,37.57596579,126.9858533,경운동
24,서대문노인종합복지관,37.56800449,126.9591178,천연동
25,창동어르신복지관,37.6367115,127.04138859999999,창동
26,구립신내노인종합복지관,37.61481251,127.08788919999999,신내동
27,쌍문동어르신복지관,37.64825635,127.0238027,쌍문동
28,서울시립동대문노인종합복지관,37.58724711,127.0500267,청량리동
29,방학동어르신복지관,37.67057374,127.03220220000001,방학동
30,종로노인종합복지관,37.57666791,127.0060206,이화동
31,성동노인종합복지관,37.56478466,127.0412399,마장동
32,구립영등포노인종합복지관,37.51685634,126.8905415,문래동3가
33,청파노인복지센터,37.55200626,126.96769669999999,서계동
34,역삼노인복지센터,37.49453769,127.0418317,역삼동
35,서초구립중앙노인종합복지관,37.49232427,127.016811,서초동
36,강동구립해공노인복지관,37.54620984,127.1317143,천호동
37,구립신사노인복지관,37.59025708,126.9080583,신사동
38,도봉노인종합복지관,37.65892811,127.0359567,쌍문동
39,성가정노인종합복지관,37.55610733,127.14652590000001,고덕동
40,아현실버복지관,37.55746063,126.96031359999999,아현동
41,금천노인종합복지관,37.45013432,126.8977638,시흥동
