사업장명,소재지전체주소
덕수노인교실,서울특별시 성북구 성북동 
늘푸른노인교실,서울특별시 성북구 동소문동1가 
(사)대한노인회성북구지회부설 노인교실,서울특별시 성북구 안암동5가 104-37번지 
개동경로대학,서울특별시 성북구 정릉동 771-3번지 
개동경로대학,서울특별시 성북구 정릉동 771-3번지 
정릉4동 시니어아카데미,서울특별시 성북구 정릉동 401-20번지 
돈암시니어노인교실,서울특별시 성북구 동선동2가 1-2번지 
종암노인교실,서울특별시 성북구 종암동 79-204번지 
백영관대학,서울특별시 강서구 방화동 두란노교회 
로뎀어르신행복학교,서울특별시 강서구 방화동 로뎀교회 나동 
양천실버교실,서울특별시 양천구 신월동 
동천 노인교실,서울특별시 영등포구 신길동 
제일소망대학,서울특별시 송파구 마천동 
다사랑노인교실,서울특별시 영등포구 대림동 
영암교회 노인교실,서울특별시 영등포구 신길동 
영중 경로대학,서울특별시 영등포구 영등포동8가 
영등포50플러스센터,서울특별시 영등포구 여의도동 56-1번지 
노인체력단련교실,서울특별시 영등포구 신길동 
양평2동 노인교실,서울특별시 영등포구 양평동4가 
노원50플러스센터,서울특별시 노원구 상계동 
천주교 광장동성당 효경대학,서울특별시 광진구 광장동 
구의교실,서울특별시 광진구 구의동 
광장노인교실,서울특별시 광진구 광장동 
권드인베드로대학,서울특별시 광진구 자양동 
평화노인교실,서울특별시 구로구 고척동 164-13번지 
백삼노인교실,서울특별시 구로구 개봉동 258-3번지 
구로3동 성당 노인대학,서울특별시 구로구 구로동 165-1번지 
오류동장로교회노인교실,서울특별시 구로구 오류동 18-2번지 
늘푸른노인교실,서울특별시 구로구 구로동 503-10번지 
오류남부교회 소망경로대학,서울특별시 구로구 오류동 187-2번지 
광진실버대학,서울특별시 구로구 개봉동 294-7번지 
구로3동성당노인대학,서울특별시 구로구 구로동 165-1번지 
천주교고척동교회부설고척노인교실,서울특별시 구로구 고척동 156-2번지 
대한노인회구로지회부설노인교실,서울특별시 구로구 구로동 105번지 
가리봉노인교실,서울특별시 구로구 가리봉동 132-86번지 
시립 구로노인종합복지관 노인교실,서울특별시 구로구 구로동 102번지 
대한노인회구로구지회부설노인교실,서울특별시 구로구 구로동 102번지 
고척노인교실,서울특별시 구로구 고척동 172-6번지 
개봉노인교실,서울특별시 구로구 개봉동 141-52번지 
신성노인교실,서울특별시 구로구 구로동 43번지 
사랑의집 노인교실,서울특별시 마포구 창전동 
서울노인교실,서울특별시 마포구 염리동 23-78번지 
서현노인교실,서울특별시 마포구 서교동 379-7번지 
잔다리은빛 노인교실,서울특별시 마포구 서교동 370-13번지 
서교동성당 노인성지대학,서울특별시 마포구 서교동 340-23번지 
성가정 노인교실,서울특별시 마포구 염리동 128-82번지 
마포 노인교실,서울특별시 마포구 염리동 168-10번지 
서서울 노인교실,서울특별시 마포구 망원동 384-1번지 
동막 노인교실,서울특별시 마포구 대흥동 660번지 
베드로노인교실,서울특별시 마포구 공덕동 105-233번지 
염리노인대학,서울특별시 마포구 염리동 518번지 
성산동성당백삼위성인대학,서울특별시 마포구 성산동 572-200번지 
나사렛 노인교실,서울특별시 마포구 상암동 64-3번지 
성결 노인교실,서울특별시 마포구 신수동 200-1번지 
성산종합사회복지관 부설 노인교실,서울특별시 마포구 성산동 595번지 
대한노인회 마포지회부설 노인교실,서울특별시 마포구 용강동 115번지 
아브라함 노인교실,서울특별시 마포구 성산동 200-7번지 
행복노인교실,서울특별시 금천구 시흥동 804-37번지 
시흥노인교실,서울특별시 금천구 시흥동 1015번지 101 101동 1407호
제일노인교실,서울특별시 금천구 시흥동 264-21번지 
성가정시니어아카데미,서울특별시 금천구 독산동 335-5번지 
신일노인교실,서울특별시 금천구 독산동 1060-18번지 
세광노인교실,서울특별시 금천구 시흥동 813-20번지 
반석노인교실,서울특별시 금천구 독산동 191-1번지 
대림2동 노인교실,서울특별시 영등포구 대림동 
삼광교회 노인교실,서울특별시 영등포구 양평동6가 
당산시니어아카데미,서울특별시 영등포구 당산동3가 
발산동성당 볏고을 시니어아카데미,서울특별시 강서구 화곡동 
호산나 실버대학,서울특별시 노원구 하계동 
염산노인교실,서울특별시 마포구 염리동 염산교회 
