행정동코드,행정동명,시간대구분,총생활인구수평균,60-64세,65세-69세,70세이상,노인(65세이상)생활인구수
11110530,사직동,새벽,13983.16325,451.0951694,319.4684952,556.402515,875.8710102
11110530,사직동,아침,19595.91263,621.685359,419.4814999,684.5488384,1104.030338
11110530,사직동,낮,33439.39812,872.1146807,564.7431676,872.6115496,1437.354717
11110530,사직동,저녁,26504.68646,706.7325787,442.9571387,701.4819847,1144.439123
11110530,사직동,밤,16715.40982,503.1328116,341.3887465,580.8155068,922.2042533
11110540,삼청동,새벽,4407.910632,150.1700842,127.980639,170.8695688,298.8502078
11110540,삼청동,아침,5118.18235,164.3883146,136.0365588,183.3778336,319.4143924
11110540,삼청동,낮,7600.655366,211.0203291,152.0945903,205.9266285,358.0212188
11110540,삼청동,저녁,5702.196705,152.3712532,121.184888,158.5165122,279.7014002
11110540,삼청동,밤,4250.186157,133.4133266,116.9643226,152.7925219,269.7568445
11110550,부암동,새벽,15532.95411,561.829041,397.7735294,637.5352288,1035.308758
11110550,부암동,아침,15454.64475,570.871103,398.7183904,629.7036044,1028.421995
11110550,부암동,낮,14399.59393,535.2729916,367.2890573,557.8615621,925.1506194
11110550,부암동,저녁,14446.12691,533.5578683,380.1732748,595.6846664,975.8579412
11110550,부암동,밤,15483.67143,568.1322898,407.9136866,640.1083477,1048.022034
11110560,평창동,새벽,20025.45381,785.9993232,562.2997513,817.6592473,1379.958999
11110560,평창동,아침,20428.22269,828.8563019,584.0884255,855.565573,1439.653999
11110560,평창동,낮,19224.41952,793.533903,566.8271008,839.6466279,1406.473729
11110560,평창동,저녁,18771.76626,738.0863659,543.5335741,829.887327,1373.420901
11110560,평창동,밤,19919.9426,778.9116097,564.4668079,838.8079279,1403.274736
11110570,무악동,새벽,8573.820405,297.5250189,208.9681238,321.9729536,530.9410774
11110570,무악동,아침,8134.245679,284.8828652,197.4498284,312.1143271,509.5641555
11110570,무악동,낮,6220.822148,219.7719166,160.6054792,259.540807,420.1462862
11110570,무악동,저녁,6266.995065,221.2484071,167.4297267,269.852487,437.2822137
11110570,무악동,밤,7794.615917,269.6034341,195.1380188,304.8894158,500.0274346
11110580,교남동,새벽,6396.104879,187.8469047,137.8997224,214.8446967,352.7444191
11110580,교남동,아침,6666.115462,199.3186032,141.2498888,219.2431408,360.4930296
11110580,교남동,낮,6331.873283,194.8527246,143.3483294,216.4994837,359.8478131
11110580,교남동,저녁,6482.393916,208.8160988,151.8705236,222.5677947,374.4383183
11110580,교남동,밤,6752.184791,207.9104887,155.30757,231.6902193,386.9977893
11110600,가회동,새벽,5075.580903,140.3431221,114.9790086,191.4705804,306.449589
11110600,가회동,아침,6448.70428,157.6581099,123.2142506,190.7995565,314.0138071
11110600,가회동,낮,9278.577284,207.6002542,139.5166219,221.3609647,360.8775866
11110600,가회동,저녁,6595.462173,158.1025116,118.1846766,189.3323043,307.5169809
11110600,가회동,밤,5082.93649,140.2303853,113.1568173,183.9383738,297.0951911
11110615,종로1.2.3.4가동,새벽,19982.42457,701.4438127,487.0148013,695.2344855,1182.249287
11110615,종로1.2.3.4가동,아침,35002.43835,1191.095894,785.8650953,1096.914746,1882.779841
11110615,종로1.2.3.4가동,낮,90507.68887,2772.102276,1869.326805,3052.322281,4921.649086
11110615,종로1.2.3.4가동,저녁,66993.21596,1921.600455,1269.675467,1859.512003,3129.18747
11110615,종로1.2.3.4가동,밤,29561.55748,900.3721645,611.5370191,863.8073757,1475.344395
11110630,종로5.6가동,새벽,9620.123512,390.7582463,246.8670523,378.6424028,625.5094551
11110630,종로5.6가동,아침,13054.54844,580.4027302,364.1267814,538.4818165,902.6085979
11110630,종로5.6가동,낮,25629.12172,1109.067757,742.3002954,1124.033523,1866.333818
11110630,종로5.6가동,저녁,17710.38328,755.8682141,490.5654097,685.7016768,1176.267087
11110630,종로5.6가동,밤,11091.62096,449.2753453,291.5437888,427.6657814,719.2095702
11110640,이화동,새벽,15260.70958,416.0501904,368.694017,575.7032015,944.3972185
11110640,이화동,아침,19075.74725,553.4186347,448.9972786,690.366148,1139.363427
11110640,이화동,낮,30850.05794,833.9861244,622.2682603,939.7619854,1562.030246
11110640,이화동,저녁,23601.29542,545.5623468,431.1036652,636.0985397,1067.202205
11110640,이화동,밤,16937.00499,438.3589262,375.5480473,576.8095568,952.3576041
11110670,창신1동,새벽,9265.11062,386.9529276,273.5457126,357.2952943,630.8410069
11110670,창신1동,아침,8907.738046,392.0792583,281.4382319,374.0929015,655.5311334
11110670,창신1동,낮,10467.31537,488.9626577,355.5130816,514.8598652,870.3729468
11110670,창신1동,저녁,9150.125197,413.9080445,292.3465228,393.8541662,686.200689
11110670,창신1동,밤,8827.728573,383.6403797,268.8546582,353.9353962,622.7900544
11110680,창신2동,새벽,11076.73101,472.9309852,327.2135822,459.1663939,786.3799761
11110680,창신2동,아침,10334.0428,434.2939987,305.9710102,426.7263017,732.6973119
11110680,창신2동,낮,9072.393423,399.3843,281.9371286,383.7118449,665.6489735
11110680,창신2동,저녁,9194.312302,420.615126,298.1612474,395.3484596,693.509707
11110680,창신2동,밤,10201.12758,449.3755053,313.6415175,422.5178715,736.159389
11110690,창신3동,새벽,5422.601558,179.5087942,144.9305202,193.6658947,338.5964149
11110690,창신3동,아침,5426.028502,173.4878575,137.8852794,192.7022743,330.5875537
11110690,창신3동,낮,4184.011396,131.3958914,103.466349,156.1935117,259.6598607
11110690,창신3동,저녁,4393.681777,146.057811,113.785483,181.4858371,295.2713201
11110690,창신3동,밤,5087.238871,167.1159843,130.9578525,192.3346663,323.2925188
11110700,숭인1동,새벽,7772.765046,272.8140195,214.8571341,302.923699,517.7808331
11110700,숭인1동,아침,7766.232085,265.9072576,212.9648311,299.5512917,512.5161228
11110700,숭인1동,낮,8177.752894,297.6022616,242.1485046,351.6661793,593.8146839
11110700,숭인1동,저녁,8545.51922,316.5406679,242.1691502,345.8762806,588.0454308
11110700,숭인1동,밤,8311.412747,297.2091667,227.2673906,325.7147905,552.9821811
11110710,숭인2동,새벽,12743.67281,432.2177018,334.1671942,446.9447728,781.111967
11110710,숭인2동,아침,13216.28295,464.1362649,349.4505935,481.3206454,830.7712389
11110710,숭인2동,낮,15703.4853,627.3958552,484.9908904,726.8328178,1211.823708
11110710,숭인2동,저녁,12898.9972,488.8811587,372.1096218,525.8978926,898.0075144
11110710,숭인2동,밤,12366.19491,425.6902271,326.9601216,455.5911765,782.5512981
11110515,청운효자동,새벽,14557.57337,380.3271276,291.6949461,486.988353,778.6832991
11110515,청운효자동,아침,15811.24563,412.3579793,313.7885514,499.4498021,813.2383535
11110515,청운효자동,낮,17548.75674,450.5017807,325.2623574,506.8702913,832.1326487
11110515,청운효자동,저녁,15250.20679,393.3091073,293.7241493,479.0309918,772.7551411
11110515,청운효자동,밤,14362.14384,378.3464184,295.3921212,488.3666718,783.758793
11110650,혜화동,새벽,26764.97999,582.6501299,455.5825484,767.3533324,1222.935881
11110650,혜화동,아침,26864.70583,606.3477132,456.6937922,770.0293157,1226.723108
11110650,혜화동,낮,29354.28335,627.4087239,456.6561421,756.6333826,1213.289525
11110650,혜화동,저녁,30657.91514,604.4035835,455.0542819,746.3396116,1201.393894
11110650,혜화동,밤,27792.67603,582.2331644,449.4626298,752.7689373,1202.231567
11140520,소공동,새벽,6644.691704,200.1002447,113.3175019,168.1385217,281.4560236
11140520,소공동,아침,16528.65071,472.3782726,277.0881567,332.8945993,609.982756
11140520,소공동,낮,45001.02493,1012.95085,575.1758286,716.265587,1291.441416
11140520,소공동,저녁,25576.69228,543.092504,296.6784437,369.1191714,665.7976151
11140520,소공동,밤,9128.110231,244.3274706,135.6333465,191.0389094,326.6722559
11140540,회현동,새벽,7835.012139,302.2745538,209.1289378,297.6780803,506.8070181
11140540,회현동,아침,15357.39119,581.39874,377.8636801,534.4228009,912.286481
11140540,회현동,낮,41219.82682,1369.66309,876.8659008,1199.493272,2076.359173
11140540,회현동,저녁,23919.95787,693.6053445,419.6522737,574.3386112,993.9908849
11140540,회현동,밤,11141.6291,383.6152637,253.0306353,354.3510338,607.3816691
11140550,명동,새벽,7634.039875,217.6673008,154.0103605,204.4964781,358.5068386
11140550,명동,아침,18869.88948,518.2653254,359.8953951,425.4562822,785.3516773
11140550,명동,낮,51902.25431,1144.066615,723.8394962,928.6921264,1652.531623
11140550,명동,저녁,32868.55751,647.1486145,396.2117988,489.0407621,885.2525609
