시군구,행정동,행정동코드,읍면동코드
종로구,사직동,11110530,1101053
종로구,삼청동,11110540,1101054
종로구,부암동,11110550,1101055
종로구,평창동,11110560,1101056
종로구,무악동,11110570,1101057
종로구,교남동,11110580,1101058
종로구,가회동,11110600,1101060
종로구,종로1.2.3.4가동,11110615,1101061
종로구,종로5.6가동,11110630,1101063
종로구,이화동,11110640,1101064
종로구,창신1동,11110670,1101067
종로구,창신2동,11110680,1101068
종로구,창신3동,11110690,1101069
종로구,숭인1동,11110700,1101070
종로구,숭인2동,11110710,1101071
종로구,청운효자동,11110515,1101072
종로구,혜화동,11110650,1101073
중구,소공동,11140520,1102052
중구,회현동,11140540,1102054
중구,명동,11140550,1102055
중구,필동,11140570,1102057
중구,장충동,11140580,1102058
중구,광희동,11140590,1102059
중구,을지로동,11140605,1102060
중구,신당5동,11140650,1102065
중구,황학동,11140670,1102067
중구,중림동,11140680,1102068
중구,신당동,11140615,1102069
중구,다산동,11140625,1102070
중구,약수동,11140635,1102071
중구,청구동,11140645,1102072
중구,동화동,11140665,1102073
용산구,후암동,11170510,1103051
용산구,용산2가동,11170520,1103052
용산구,남영동,11170530,1103053
용산구,원효로2동,11170570,1103057
용산구,효창동,11170580,1103058
용산구,용문동,11170590,1103059
용산구,이촌1동,11170630,1103063
용산구,이촌2동,11170640,1103064
용산구,이태원1동,11170650,1103065
용산구,이태원2동,11170660,1103066
용산구,서빙고동,11170690,1103069
용산구,보광동,11170700,1103070
용산구,청파동,11170555,1103071
용산구,원효로1동,11170560,1103072
용산구,한강로동,11170625,1103073
용산구,한남동,11170685,1103074
성동구,왕십리2동,11200520,1104052
성동구,마장동,11200540,1104054
성동구,사근동,11200550,1104055
성동구,행당1동,11200560,1104056
성동구,행당2동,11200570,1104057
성동구,응봉동,11200580,1104058
성동구,금호1가동,11200590,1104059
성동구,금호4가동,11200620,1104062
성동구,성수1가1동,11200650,1104065
성동구,성수1가2동,11200660,1104066
성동구,성수2가1동,11200670,1104067
성동구,성수2가3동,11200690,1104068
성동구,송정동,11200720,1104069
성동구,용답동,11200790,1104070
성동구,왕십리도선동,11200535,1104071
성동구,금호2.3가동,11200615,1104072
성동구,옥수동,11200645,1104073
광진구,화양동,11215710,1105053
광진구,군자동,11215730,1105054
광진구,중곡1동,11215740,1105055
광진구,중곡2동,11215750,1105056
광진구,중곡3동,11215760,1105057
광진구,중곡4동,11215770,1105058
광진구,능동,11215780,1105059
광진구,구의1동,11215850,1105060
광진구,구의2동,11215860,1105061
광진구,구의3동,11215870,1105062
광진구,광장동,11215810,1105063
광진구,자양1동,11215820,1105064
광진구,자양2동,11215830,1105065
광진구,자양3동,11215840,1105066
광진구,자양4동,11215847,1105067
동대문구,회기동,11230710,1106071
동대문구,휘경1동,11230720,1106072
동대문구,휘경2동,11230730,1106073
