,주차장id,주차장이름,주소,경도,위도
0,20590715,세종로공영주차장,서울 종로구 세종로 80-1,126.975960712387,37.5734784371479
1,26535499,적선노외공영주차장,서울 종로구 적선동 140,126.97420235293477,37.57450339806072
2,2006105181,사직공영주차장,서울 종로구 사직동 262-84,126.966446790321,37.5746834494225
3,11475957,광화문빌딩 공영주차장,서울 종로구 당주동 145,126.973706488234,37.5713948561055
4,1617921262,노상공영주차장,서울 종로구 당주동 5-2,126.973931626848,37.5717517001152
5,33061381,광화문빌딩 앞 공영주차장,서울 종로구 당주동 100-4,126.97391122512,37.5718264782034
6,26336344,세종로공영주차장 개방화장실,서울 종로구 세종로 80-1,126.975897357203,37.5733630968858
7,27447437,세종로공영주차장 전기차충전소,서울 종로구 세종로 80-1,126.97601047789,37.5736117945099
8,20518565,신문로 노외주차장,서울 종로구 신문로1가 58-36,126.97315420616148,37.571055957610966
9,26535574,고려유료주차장,서울 종로구 신문로1가 27-8,126.97415499307878,37.570692178861876
10,20589768,주차장,서울 종로구 당주동 5-2,126.974295011054,37.5716977200889
11,242008540,그린존 신문로 노외공영주차장,서울 종로구 신문로1가 58-36,126.973149684752,37.5710379366781
12,11478013,삼청공원앞 노상공영주차장,서울 종로구 삼청동 25-11,126.98246538584586,37.58725758001671
13,20517333,삼청주차장,서울 종로구 삼청동 1-12,126.98129103175573,37.588244887712605
14,11475966,원서공원앞 공영주차장,서울 종로구 와룡동 3-16,126.989310931091,37.5781277305728
15,18561887,효자공영주차장,서울 종로구 효자동 68-1,126.970600284052,37.5830782172559
16,20518498,신교동공영주차장,서울 종로구 신교동 66,126.969653395711,37.5840870901308
17,230007731,청운효자동주민센터 주차장,서울 종로구 궁정동 12-1,126.97052969961,37.5840701932904
18,11478017,서인사마당 공영주차장,서울 종로구 견지동 85-18,126.983812274779,37.5736347459893
19,1220715711,시민열린마당뒤 공영주차장,서울 종로구 세종로 11,126.978734765645,37.5752169882876
20,1814572427,옥인유휴지공영주차장,서울 종로구 옥인동 47-45,126.967756911511,37.5817043607677
21,2031103465,열린마당앞 주차장,서울 종로구 중학동 111,126.978885291642,37.5753386495771
24,11478021,명광교회옆 공영주차장,서울 종로구 명륜3가 12,126.996481100218,37.5867362541173
25,588711918,명륜동 와룡 공영주차장,서울 종로구 명륜3가 1-21,126.99554238218984,37.588720208337406
26,987900741,낙원상가 밑 노상 공영 주차장,서울 종로구 경운동 49,126.987431291692,37.5737243852567
27,2102807791,부암주차장 거주자우선주차,서울 종로구 부암동 369-15,126.960636624373,37.5930547092363
32,25627713,누상공영주차장,서울 종로구 누상동 166-50,126.964660027032,37.5803808155186
33,11512383,홍제3동 제2공영주차장,서울 서대문구 홍제동 8-173,126.950676884574,37.5930617793773
34,11512382,홍제3동제1거주자주차장,서울 서대문구 홍제동 278-41,126.948193483372,37.595071728832
35,11512379,홍은1동 제1공영주차장,서울 서대문구 홍은동 9-164,126.949540788207,37.5986798813401
36,11512463,홍제2동 제1공영주차장,서울 서대문구 홍제동 192-14,126.947663731751,37.5883464908343
40,11512428,홍은1동 제4공영주차장,서울 서대문구 홍은동 11-23,126.949185630264,37.6014043249341
42,988277502,평창동 공영주차장,서울 종로구 평창동 114-3,126.977528483895,37.6113267157834
43,678089753,평창동460-3 공영주차장,서울 종로구 평창동 460-3,126.974896596667,37.6106477404696
44,134964964,노상공영주차장,서울 종로구 구기동 146-2,126.957291606827,37.6112247213951
45,13097598,비봉 공영주차장,서울 종로구 구기동 139-9,126.9565401309109,37.61221553490935
46,20515273,독립문고가밑 노상공영주차장,서울 서대문구 영천동 59,126.959860064221,37.571596387085
47,20593664,행촌공영주차장,서울 종로구 행촌동 210-35,126.963122860966,37.575302342174
48,20513613,교남공영주차장,서울 종로구 행촌동 1-53,126.963884793803,37.5728050202769
51,11512364,천연동 제1공영주차장,서울 서대문구 천연동 98-13,126.960554484333,37.5684683652678
55,20587829,충현동제1공영주차장,서울 서대문구 충정로2가 78-13,126.96450878216142,37.5651034996945
64,25611935,이화여고 앞 노상 공영주차장,서울 중구 순화동 1-140,126.96862666584882,37.56485148585913
66,26909635,이화여고앞공영주차장,서울 중구 순화동 1-1,126.969466948212,37.563796639548
68,27190610,공영주차장,서울 서대문구 미근동 267,126.968304039242,37.5622790550555
70,255867033,서소문성지역사박물관 공영주차장,서울 중구 의주로2가 16-4,126.968665738533,37.5607429522598
71,18071709,서울시청 서소문청사 주차장,서울 중구 서소문동 37,126.975175855106,37.5643818235373
82,646043887,하나로빌딩옆 공영주차장,서울 종로구 인사동 194-4,126.98526716761,37.5723068699571
83,11477096,탑골공원공영주차장,서울 종로구 종로2가 38-1,126.988082494265,37.5718620961552
86,11475963,종각뒤 공영주차장,서울 종로구 관철동 13-22,126.9831283282157,37.569562152081545
90,23363005,서린노외공영주차장,서울 종로구 서린동 63,126.981503944072,37.5697240879472
91,15271705,종묘공영주차장,서울 종로구 훈정동 2,126.99591245763895,37.57104992925496
95,42530440,노상공영주차장,서울 종로구 예지동 293-1,127.000602195936,37.5695705640826
99,11478014,세운상가 공영주차장,서울 종로구 장사동 116-4,126.995241311887,37.5692857551313
100,2064006581,노상공영주차장,서울 종로구 장사동 236,126.992329993103,37.5689107877338
