읍면동코드,읍면동,주차장수
1101053,사직동,12
1101054,삼청동,2
1101055,부암동,1
1101056,평창동,4
1101057,무악동,0
1101058,교남동,2
1101060,가회동,3
1101061,종로1.2.3.4가동,17
1101063,종로5.6가동,3
1101064,이화동,1
1101067,창신1동,3
1101068,창신2동,1
1101069,창신3동,2
1101070,숭인1동,1
1101071,숭인2동,4
1101072,청운효자동,5
1101073,혜화동,3
1102052,소공동,9
1102054,회현동,8
1102055,명동,15
1102057,필동,4
1102058,장충동,1
1102059,광희동,12
1102060,을지로동,12
1102065,신당5동,5
1102067,황학동,1
1102068,중림동,2
1102069,신당동,5
1102070,다산동,9
1102071,약수동,2
1102072,청구동,2
1102073,동화동,2
1103051,후암동,2
1103052,용산2가동,2
1103053,남영동,0
1103057,원효로2동,1
1103058,효창동,3
1103059,용문동,2
1103063,이촌1동,2
1103064,이촌2동,0
1103065,이태원1동,2
1103066,이태원2동,3
1103069,서빙고동,1
1103070,보광동,0
1103071,청파동,3
1103072,원효로1동,2
1103073,한강로동,10
1103074,한남동,10
1104052,왕십리2동,1
1104054,마장동,15
1104055,사근동,5
1104056,행당1동,0
1104057,행당2동,2
1104058,응봉동,2
1104059,금호1가동,0
1104062,금호4가동,0
1104065,성수1가1동,3
1104066,성수1가2동,1
1104067,성수2가1동,2
1104068,성수2가3동,7
1104069,송정동,4
1104070,용답동,10
1104071,왕십리도선동,3
1104072,금호2.3가동,2
1104073,옥수동,1
1105053,화양동,1
1105054,군자동,1
1105055,중곡1동,1
1105056,중곡2동,1
1105057,중곡3동,1
1105058,중곡4동,2
1105059,능동,1
1105060,구의1동,1
1105061,구의2동,2
1105062,구의3동,3
1105063,광장동,1
1105064,자양1동,0
1105065,자양2동,4
1105066,자양3동,4
1105067,자양4동,2
1106071,회기동,2
1106072,휘경1동,2
1106073,휘경2동,5
1106080,청량리동,2
1106081,용신동,6
1106082,제기동,10
1106083,전농1동,2
1106084,전농2동,0
1106086,답십리2동,3
1106087,장안1동,4
1106088,장안2동,4
1106089,이문1동,4
1106090,이문2동,0
1106091,답십리1동,5
1107052,면목2동,6
1107054,면목4동,4
1107055,면목5동,3
1107057,면목7동,1
1107059,상봉1동,2
1107060,상봉2동,5
1107061,중화1동,2
1107062,중화2동,15
1107064,묵1동,3
1107065,묵2동,4
1107068,망우3동,4
1107069,신내1동,4
1107070,신내2동,1
1107071,면목본동,2
1107072,면목3.8동,3
1107073,망우본동,7
1108058,돈암1동,0
1108059,돈암2동,1
