후보지,연결개수,최소거리
홍릉,647,514955.1203
보림,554,408208.7396
선농단,471,261107.0021
반딧불,370,450001.0768
이태원어린이놀이터,369,324258.2020
명륜공원,358,779398.9491
흥인지문공원,295,597741.8227
정릉천변 마을마당,292,230127.7232
돌마루,263,1010939.5690
도시공원,257,141872.8950
용답휴식,256,138719.7061
까  치,255,661050.3071
한 빛,249,909906.7995
독서당공원,244,538959.1844
서마장,238,482254.4006
주민센터,237,1309638.8280
오거리,236,475078.6255
장미,230,1346828.1360
와룡공원,218,767470.1539
사근,214,34278.1768
무궁화,212,395393.3583
남부,210,756927.0340
중곡공원,210,1067339.7540
이문체육문화센터,203,335698.8704
청 암,202,1335670.2580
신일어린이공원,200,1785097.7060
샛별,199,1045785.0950
송학,199,1047332.9120
본  동,198,1576217.5120
탑골공원,197,1035739.6320
답십리,195,535675.8818
메낙골근린공원,194,1864473.5130
남  촌,193,1093467.6080
꽃사슴,192,1756347.7920
쉼터,191,694201.8185
장  미,190,385467.2543
범바위,190,1093452.7260
한마음공원,188,372152.3203
무지개,187,880582.8300
무너미,186,500165.3106
노량진,185,403962.0231
청량,181,302476.2559
영등포근린공원,181,537777.5120
희망어린이공원,179,133739.9218
으 뜸,178,377066.1545
고추말어린이공원,176,375830.1711
돈암1동 마을마당,176,591719.8499
쌍문1동,173,611670.6731
긴고랑공원,172,713793.3751
솔길어린이공원,172,899373.2667
북아현 야외운동시설,170,360592.2311
미래,170,402011.0128
개나리,170,723335.0581
후암어린이공원,169,146086.5046
묵정공원,168,537985.2728
서계가로어린이공원,166,628988.9102
도선,165,334586.9357
해태,161,231739.6767
응달마을,161,441230.9333
해맞이약수터,160,703311.6337
소 귀,159,1087766.3010
다산공원,158,538846.9511
쌍림공원,157,1429222.8110
해오름공원,156,111923.6387
솔 샘,156,268868.1406
배  꽃,156,360478.8561
빨래골,156,639080.4503
원서공원,156,827964.0715
환경어린이공원,154,1266852.2430
등나무,154,1891572.2390
보등골,153,483625.6038
강북6구역,153,1347443.2420
한울,152,827995.1314
희망,151,966779.5778
능동소공원,150,920897.0876
천장,149,360491.5123
동묘공원,148,1004075.9420
중화리,147,480948.9898
초  롱,146,233991.7041
새숲,146,850329.8977
새들,144,238527.2144
삼각산문화예술회관수영장(구.강북구민회관수영장),143,680159.4918
장위2동 감나무쉼터,143,872460.6191
수유일공원,140,1182281.2080
사우촌,139,328364.7832
궁뜰어린이공원,139,620019.4821
옹달샘,139,1079159.5360
꿈나라,139,1442698.9300
영도,138,166015.9610
윗잔다리어린이공원,135,268895.8184
정릉4동 마을마당,135,277192.7807
불암산공원,134,840937.9687
봉  황,134,1439752.7350
(가칭)신길11재정비촉진구역 소공원,134,2092938.9660
중앙배드미턴장,133,397541.2506
안골,133,522502.2505
매화,133,575715.4168
장위2동 어울쉼터,133,991802.2083
양남어린이공원,132,310518.6530
개웅산근린공원,131,557652.4073
풍납타이어,131,1256991.4260
중랑문화체육관,130,524755.1744
중앙어린이공원,130,1241809.9130
푸 른,127,452130.8439
우산각,127,822626.1465
골말,127,1526882.0920
돌모루어린이공원,127,2151527.4950
은천,127,2326060.4220
이태원마을숲,125,1084988.4470
홍제교 좌안 상류 간이운동장,124,400507.6074
산성어린이공원,124,470895.5457
샛  별,124,1885434.0980
연지1공원,123,986392.7395
성화공원,123,1435576.2570
당산근린공원,123,2925243.0790
황학공원,122,273053.7377
까치,122,437780.3615
충효,122,621987.3069
새나라어린이공원,122,822797.4354
양산,122,1131748.8090
공덕동 체육시설,121,489472.0824
장안,121,1829050.5430
삼청공원,120,428458.0630
충현공원,120,918564.6489
저동1공원,119,1021564.3600
새꿈어린이공원,119,1255985.6280
동교어린이공원,118,407282.2427
청명,117,446481.5363
오성,116,829261.6601
사직공원,116,1969938.7740
참새,115,582523.3472
숭인공원,115,2693907.1150
애경어린이공원,114,236178.9993
목화,114,1038610.9950
느티나무어린이공원,114,1039287.8690
오 패,112,374761.4464
화원어린이공원,108,1672756.2720
염리치안센터 옆 쉼터,106,2512880.7780
조마,105,394422.6624
마장,105,1448830.2980
정릉3동 마을마당,105,2948616.4210
늘푸른어린이공원,103,2038723.0150
무궁화소공원,102,256764.7633
빙수골,102,524446.0484
배봉산,102,525033.5651
도리미 소공원,102,659222.9066
장충테니스장,102,996780.5698
아름다운소공원,102,1195097.9770
소월길어린이공원,101,1345872.1870
섬  들,101,1426180.0950
창천문화공원,100,528684.8025
동산,100,1383937.8460
중곡문화체육센터수영장,100,1487870.5960
한서마을마당,99,195530.5282
홍련산의,99,1010756.5300
안말공원,99,1102056.4100
행운동,97,911391.5660
군자공원,97,1296408.9890
샘  터,96,317812.9365
효창종합사회복지관체육관,96,499768.2454
한아름공원,96,947447.7494
은행,96,1146219.1740
가린열어린이공원,96,1512688.9180
구로동(다울)소공원,95,471416.8210
양  지,95,1623307.4240
은모루,94,209259.0350
오류동 소공원,94,445757.2213
북한산도시자연공원,94,663309.9849
햇  빛,94,667383.9562
화랑,94,983916.0246
논 골,94,1276032.0540
한마음어린이공원,94,2169350.9960
예촌,93,665034.7191
돌이음,93,1247991.3280
창신공원,93,1591995.5790
솔밭근린공원,92,240636.4102
꿈누리공원,92,835588.9395
상  리,92,1647419.5270
훈련원공원,91,653534.8463
샛 강,91,721874.9436
삼   선,91,847556.2655
남강,90,1244353.0860
해님공원,90,2393218.5770
새벽,89,1069456.8680
꽃동산,89,1584102.1050
은행나무어린이공원,89,1689227.9210
호박골,89,1751415.6750
새마을공원,89,1835369.1550
소  망,89,1990195.1830
이태원어린이공원,88,482209.5711
목련,88,987629.0299
새싹,88,1113625.5440
장미원,88,1538540.3090
