전철역코드,전철역명,전철명명(영문),호선,외부코드,검색키워드,주소,위도,경도,환승역
2622,망원역,Mangwon,6호선,621,망원역 6호선,서울 마포구 월드컵로 지하 77,37.5560572923314,126.910033925408,0
2623,합정역,Hapjeong,6호선,622,합정역 6호선,서울 마포구 양화로 지하 45,37.5491226824276,126.913544566078,1
2624,상수역,Sangsu,6호선,623,상수역 6호선,서울 마포구 독막로 지하 85,37.5477716665856,126.922409857908,0
2625,광흥창역,Gwangheungchang,6호선,624,광흥창역 6호선,서울 마포구 독막로 지하 165,37.5474860706906,126.931939240491,0
2626,대흥역,Daeheung,6호선,625,대흥역 6호선,서울 마포구 대흥로 지하 85,37.5476683544726,126.942465251709,0
2633,버티고개역,Beotigogae,6호선,632,버티고개역 6호선,서울 중구 다산로 지하 38,37.5479949973795,127.006885234253,0
2634,약수역,Yaksu,6호선,633,약수역 6호선,서울 중구 다산로 지하 115,37.5538914380831,127.010120543543,1
2635,청구역,Cheonggu,6호선,634,청구역 6호선,서울 중구 청구로 지하 77,37.5602939125022,127.013806006802,1
2636,신당역,Sindang,6호선,635,신당역 6호선,서울 중구 다산로 지하 260,37.5662738884121,127.016153533586,1
2727,군자역,Gunja,7호선,725,군자역 7호선,서울 광진구 천호대로 지하 550,37.5573631939521,127.079017279019,1
2732,강남구청역,Gangnam-gu Office,7호선,730,강남구청역 7호선,서울 강남구 학동로 지하 346,37.5171892352971,127.04130142966,1
2733,학동역,Hak-dong,7호선,731,학동역 7호선,서울 강남구 학동로 지하 180,37.5142064294604,127.031463762217,0
2535,종로3가역,Jongno 3(sam)-ga,5호선,534,종로3가역 5호선,서울 종로구 돈화문로11길 지하 26,37.5725695604894,126.99006167065,1
2555,둔촌동역,Dunchon-dong,5호선,P549,둔촌동역 5호선,서울 강동구 양재대로 지하 1369,37.528135539247,127.13637526265,0
2556,올림픽공원역,Olympic Park,5호선,P550,올림픽공원역 5호선,서울 송파구 양재대로 지하 1233,37.5160876492782,127.130600140827,1
2611,응암역,Eungam,6호선,610,응암역 6호선,서울 은평구 증산로 지하 477,37.5987423282207,126.915512801302,0
2612,역촌역,Yeokchon,6호선,611,역촌역 6호선,서울 은평구 서오릉로 지하 63,37.6060390534435,126.922967946327,0
2613,불광역,Bulgwang,6호선,612,불광역 6호선,서울 은평구 통일로 지하 723-1,37.6102072578868,126.92998576213,1
2614,독바위역,Dokbawi,6호선,613,독바위역 6호선,서울 은평구 불광로 지하 129-1,37.6183988849915,126.932810138476,0
2615,연신내역,Yeonsinnae,6호선,614,연신내역 6호선,서울 은평구 통일로 지하 849,37.618962003178,126.921162124977,1
2616,구산역,Gusan,6호선,615,구산역 6호선,서울 은평구 연서로 지하 137-1,37.6112122196295,126.917182386796,0
2617,새절역,Saejeol,6호선,616,새절역 6호선,서울 은평구 증산로 지하 400,37.5918270544017,126.913911983591,0
2618,증산역,Jeungsan,6호선,617,증산역 6호선,서울 은평구 증산로 지하 306,37.5841954778004,126.910057587886,0
2619,디지털미디어시티역,Digital Media City,6호선,618,디지털미디어시티역 6호선,서울 은평구 수색로 지하 175,37.5771614352661,126.901928562926,1
2620,월드컵경기장역,World Cup Stadium,6호선,619,월드컵경기장역 6호선,서울 마포구 월드컵로 지하 240,37.569942569034,126.899033325814,0
2621,마포구청역,Mapo-gu Office,6호선,620,마포구청역 6호선,서울 마포구 월드컵로 지하 190,37.5634263131969,126.903356973848,0
2734,논현역,Nonhyeon,7호선,732,논현역 7호선,서울 강남구 학동로 지하 102,37.5111988300765,127.021657861669,0
2735,반포역,Banpo,7호선,733,반포역 7호선,서울 서초구 신반포로 지하 241,37.5081263886404,127.011497032246,0
2736,고속터미널역,Express Bus Terminal,7호선,734,고속터미널역 7호선,서울 서초구 신반포로 지하 188,37.504647182738,127.004442096367,1
0332,양재역,Yangjae,3호선,342,양재역 3호선,서울 서초구 남부순환로 지하 2585,37.4839347328908,127.034544193436,1
0333,매봉역,Maebong,3호선,343,매봉역 3호선,서울 강남구 남부순환로 지하 2744,37.4869611285839,127.046614560925,0
0334,도곡역,Dogok,3호선,344,도곡역 3호선,서울 강남구 남부순환로 지하 2814,37.4908647717187,127.05532337372,1
0335,대치역,Daechi,3호선,345,대치역 3호선,서울 강남구 남부순환로 지하 2952,37.4945627553067,127.063430193449,0
0336,학여울역,Hangnyeoul,3호선,346,학여울역 3호선,서울 강남구 남부순환로 지하 3104,37.4967171864138,127.071718971861,0
0337,대청역,Daecheong,3호선,347,대청역 3호선,서울 강남구 일원로 지하 2,37.4937218597788,127.079493645766,0
0338,일원역,Irwon,3호선,348,일원역 3호선,서울 강남구 일원로 지하 121,37.4840735840284,127.084451750048,0
0339,수서역,Suseo,3호선,349,수서역 3호선,서울 강남구 광평로 지하 270,37.4873889933503,127.101859191018,1
0434,남태령역,Namtaeryeong,4호선,434,남태령역 4호선,서울 서초구 과천대로 지하 816,37.4648575576518,126.988656544337,0
