정류소명,X좌표,Y좌표,정류버스수,행정동,행정동_경도,행정동_위도
미아사거리역,127.030002312,37.613765142,"48",송천동,127.023867953194,37.6183082018123
미아리고개.미아리예술극장,127.0216800673,37.5988124984,"41",돈암1동,127.026386316288,37.6034197210099
돈암사거리.성신여대입구,127.0180870417,37.5937751071,"41",동선동,127.020422471545,37.5939965377109
도봉세무서.성북시장,127.0287005024,37.6197095673,"38",송천동,127.023867953194,37.6183082018123
길음뉴타운,127.0241845482,37.6036093788,"37",길음1동,127.019502782008,37.6103983239234
월곡뉴타운,127.028232048,37.6068897684,"34",길음2동,127.02731160121,37.6066955102538
숭덕초교,127.0147214546,37.6035333244,"25",정릉1동,127.016655780772,37.6014465243128
종암경찰서,127.0331233065,37.6014694388,"24",종암동,127.035212918853,37.5990602270364
종암동주민센터,127.0342434232,37.5992522052,"24",종암동,127.035212918853,37.5990602270364
삼양동사거리,127.0214008015,37.6181055358,"23",삼각산동,127.020835978317,37.6150544065232
삼선동주민센터,127.0144093913,37.5906588219,"21",삼선동,127.01467420945,37.5908367124693
삼선교.한성대학교,127.0092102337,37.5898834226,"20",성북동,127.003279061117,37.5910502132448
보문역,127.019299,37.585282,"20",보문동,127.022809769902,37.5803802977583
성북구청.성북경찰서,127.0173202731,37.5882905568,"19",삼선동,127.01467420945,37.5908367124693
정릉시장입구,127.009848917,37.6084714968,"16",정릉4동,127.00699953542,37.6133765955324
정릉우체국앞,127.0114514047,37.605178794,"16",정릉2동,127.011148093004,37.6044745007088
고려대역.고대앞삼거리,127.0367938167,37.5888049152,"16",제기동,127.037818414722,37.5831154639952
길음역,127.023933,37.601972,"14",길음1동,127.019502782008,37.6103983239234
성가복지병원,127.0313059234,37.6059147758,"13",길음2동,127.02731160121,37.6066955102538
성북청수도서관.정릉4동성당,127.0084452113,37.61157851,"13",정릉4동,127.00699953542,37.6133765955324
삼양동사거리입구,127.0285423836,37.6171719852,"13",송천동,127.023867953194,37.6183082018123
성암국제무역고등학교,127.0252509718,37.6181643071,"13",송천동,127.023867953194,37.6183082018123
숭례초교,127.0357831859,37.5948209235,"12",종암동,127.035212918853,37.5990602270364
우신향병원,127.0316635859,37.5851062255,"12",제기동,127.037818414722,37.5831154639952
숭례초등학교,127.0360523555,37.594378876,"12",종암동,127.035212918853,37.5990602270364
성신여대입구역,127.0162659964,37.593399898,"12",동선동,127.020422471545,37.5939965377109
봉국사,127.0076356941,37.6058239757,"12",정릉2동,127.011148093004,37.6044745007088
정릉길음시장,127.019175285,37.602358249,"11",정릉1동,127.016655780772,37.6014465243128
정릉2동주민센터,127.011024,37.604761,"11",정릉2동,127.011148093004,37.6044745007088
송중초등학교,127.0316605575,37.6164471234,"11",송중동,127.033793824171,37.6161289893513
숭곡초등학교입구,127.0321633111,37.6100659535,"10",송중동,127.033793824171,37.6161289893513
고려대학교앞,127.0347492384,37.5881642203,"10",제기동,127.037818414722,37.5831154639952
돈암2동주민센터입구.흥천사,127.0150321421,37.5968524981,"10",동선동,127.020422471545,37.5939965377109
월곡1동주민센터,127.0353400807,37.6105762289,"10",월곡1동,127.035775560243,37.6105530868712
월곡동두산아파트,127.0366654139,37.6066346712,"10",월곡1동,127.035775560243,37.6105530868712
아리랑고개.아리랑시네미디어센터,127.013771643,37.6006378138,"9",돈암2동,127.01058094036,37.5980162520587
송천초등학교.미아뉴타운입구,127.0220941589,37.6154581102,"9",삼각산동,127.020835978317,37.6150544065232
미아초교,127.0220826076,37.6115374602,"9",길음1동,127.019502782008,37.6103983239234
길음동동부아파트,127.0233780096,37.6078573327,"9",길음1동,127.019502782008,37.6103983239234
창문여고앞,127.0360801756,37.612149839,"8",월곡1동,127.035775560243,37.6105530868712
창문여고,127.0357831591,37.6118940155,"8",월곡1동,127.035775560243,37.6105530868712
장위동고개,127.0404890653,37.6144062254,"8",장위1동,127.043737294008,37.6140462415576
돈암1동주민센터,127.0263858735,37.6038916874,"8",돈암1동,127.026386316288,37.6034197210099
고대앞,127.0349190878,37.5884912484,"7",안암동,127.021362226117,37.5858333806287
생명의전화,127.0374580008,37.6041484498,"7",월곡2동,127.047886454934,37.6057915694944
KT월곡지사,127.0351662979,37.6028019378,"7",월곡1동,127.035775560243,37.6105530868712
돈암동삼성아파트입구,127.0244725057,37.6020310968,"7",돈암1동,127.026386316288,37.6034197210099
제기동한신아파트앞,127.0378313277,37.5875196731,"7",제기동,127.037818414722,37.5831154639952
길음뉴타운10단지.라온유아파트,127.0180402287,37.602794832,"7",정릉1동,127.016655780772,37.6014465243128
월곡역,127.042305076,37.6028439593,"7",월곡2동,127.047886454934,37.6057915694944
고려대이공대.고대병원,127.0254858421,37.5863118607,"7",안암동,127.021362226117,37.5858333806287
안암동주민센터,127.0223717498,37.5862576795,"7",안암동,127.021362226117,37.5858333806287
북한산보국문역2번출구,127.0080361564,37.6123208475,"6",정릉4동,127.00699953542,37.6133765955324
정릉입구,127.0134207969,37.6025035348,"6",정릉2동,127.011148093004,37.6044745007088
돈암시장입구,127.0165522454,37.5920040857,"6",삼선동,127.01467420945,37.5908367124693
북한산보국문역1번출구,127.008269487,37.6120632959,"6",정릉4동,127.00699953542,37.6133765955324
성북우체국현대백화점,127.0293074582,37.607859421,"6",길음2동,127.02731160121,37.6066955102538
롯데백화점미아점,127.030862,37.614651,"6",송중동,127.033793824171,37.6161289893513
방천시장입구,127.0326975602,37.6115440433,"6",송중동,127.033793824171,37.6161289893513
우방아파트,127.0094061718,37.6002355214,"6",정릉2동,127.011148093004,37.6044745007088
숭곡초교입구,127.0321966828,37.6099865112,"5",월곡1동,127.035775560243,37.6105530868712
밤나무골시장,127.0357150484,37.6094604036,"5",월곡1동,127.035775560243,37.6105530868712
성북구보건소,127.0392766903,37.6024463392,"5",월곡2동,127.047886454934,37.6057915694944
월곡삼성래미안아파트,127.0359155138,37.6091337935,"5",월곡1동,127.035775560243,37.6105530868712
삼덕단지.성북구최만린미술관,127.0050979979,37.6103867411,"5",정릉3동,127.00418588228,37.6089582782412
한국과학기술연구원입구,127.0447746193,37.6043772721,"5",월곡2동,127.047886454934,37.6057915694944
솔샘사거리,127.0070863613,37.61276533,"5",정릉4동,127.00699953542,37.6133765955324
미아사거리역.롯데백화점,127.0301831322,37.6140773192,"5",송중동,127.033793824171,37.6161289893513
국방연구원,127.040058583,37.5912080849,"5",제기동,127.037818414722,37.5831154639952
미아사거리전철역,127.030547612,37.6129620654,"5",송중동,127.033793824171,37.6161289893513
송중동한일유엔아이,127.0380710764,37.6136824773,"4",장위1동,127.043737294008,37.6140462415576
장위동입구,127.0389900579,37.6137718421,"4",장위1동,127.043737294008,37.6140462415576
