,Unnamed: 0,FACI_NM,FACI_GB_CD,FACI_GB_NM,FCOB_CD,FCOB_NM,FTYPE_CD,FTYPE_NM,FACI_STAT,FACI_ROAD_POST,FACI_ROAD_ADDR1,FACI_ROAD_ADDR2,FACI_POST,FACI_ADDR1,FACI_ADDR2,FACI_POINT_X,FACI_POINT_Y,서울유무
42,978,돌   뫼,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 성북구 석관동,,127.05276299999998,37.605125,서울
43,979,동   방,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 성북구 장위1동,,127.04355100000001,37.616625,서울
44,980,동   산,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 성북구 월곡1동,,127.03228999999999,37.605577000000004,서울
45,981,밤   골,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 성북구 월곡1동,,127.039928,37.607571,서울
46,982,삼   선,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 성북구 삼선동,,127.00898899999999,37.582602,서울
47,983,샛   별,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 성북구 석관동,,127.06414,37.614111,서울
48,984,종   암,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 성북구 종암동,,127.037177,37.600157,서울
49,985,햇   살,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 성북구 월곡2동,,127.048607,37.605909999999994,서울
50,986,향   기,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 성북구 월곡2동,,127.04466799999999,37.610056,서울
71,2483,고암,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 성북구 종암동,,127.03175300000001,37.599942,서울
120,2737,매화,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 성북구 정릉1동,,127.017298,37.600657,서울
141,2909,솔숲,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 성북구 정릉1동,,127.01493700000002,37.604874,서울
178,3310,한울,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 성북구 정릉2동,,127.01369199999999,37.605388,서울
199,3592,아현 녹지,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 마포구 아현1동 704,,126.96290549999999,37.55697602,서울
225,3866,성북 펜싱 체육관,P,공공,P09,체육관,P0903,생활체육관,정상운영,2798.0,서울특별시 성북구 종암로24가길 109 (종암동),,2798.0,서울특별시 성북구 종암동 104-4,,127.0381601,37.60158335,서울
286,4214,서교 걷고 싶은거리쉼터,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 마포구 서교동 365-26(서교동408-13앞),,126.92203899999998,37.55365845,서울
630,7392,쌍문 근린공원,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 도봉구 쌍문4동,,127.032875,37.653946999999995,서울
657,7630,창동 공공공지,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 도봉구 창4동,,127.04531000000001,37.660123999999996,서울
889,8376,남산 게이트볼장,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,137160.0,서울 서초구 신원동 90-2,,127.0666366,37.43343142,서울
1265,9188,신양 동네체육시설,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 종로구 혜화동,,126.996626,37.58344,서울
1310,9278,천연 야외운동시설,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,120040.0,서울 서대문구 천연동 140,천연야외운동시설,126.9620669,37.56825262,서울
1334,9328,홍제 야외운동시설,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,120090.0,서울 서대문구 홍제동 280-9,홍제야외운동시설,126.949353,37.59501817,서울
1501,9648,응봉(한마음) 배드민턴장,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 중구 서울특별시 중구 신당동 309-61 일대,,127.01452169999999,37.55167948,서울
1548,9781,관악정,P,공공,P14,국궁장,P1401,국궁장,정상운영,8823.0,서울특별시 관악구 약수암길 43-3 (신림동),,8823.0,서울특별시 관악구 신림동  산72-5 관악정,,126.93377959999998,37.45860238,서울
1584,9843,깃대봉,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 종로구 종로1.2.3.4가동,,126.99510900000001,37.582954,서울
1586,9850,꿈나라,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 성북구 보문동,,127.02293700000001,37.580276,서울
1613,9992,동망봉,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 성북구 보문동,,127.02034499999999,37.58488,서울
1618,10000,두산힐,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 서초구 반포4동,,127.009979,37.501354,서울
1633,10022,등산로,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 강동구 암사3동,,127.14558799999999,37.56197,서울
1634,10023,등산로,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 강동구 암사3동,,127.1463,37.561537,서울
1642,10140,맑은숲,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 성북구 장위3동,,127.046566,37.620453000000005,서울
1662,10276,배밭골,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 성북구 정릉3동,,126.998958,37.607875,서울
1669,10292,범바위,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 성북구 안암동,,127.021523,37.585322,서울
1700,10424,새소리,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 성북구 돈암1동,,127.02555900000002,37.600827,서울
1715,10465,솔향기,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 성북구 길음1동,,127.021427,37.608098999999996,서울
1810,10944,족구장,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 서대문구 서울특별시 서대문구 모래내로 203,,126.9222406,37.57312011,서울
1851,11155,테스트,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,7367.0,서울특별시 영등포구 영신로9바길 5-8 (영등포동),,7367.0,서울특별시 영등포구 영등포동 620-196,,126.90679070000002,37.51161391,서울
1853,11158,테스트,P,공공,P17,골프연습장,P1701,골프연습장,정상운영,5540.0,서울특별시 송파구 올림픽로 424 (방이동),,5540.0,서울특별시 송파구 방이동 88 올림픽공원,,127.1161666,37.52103247,서울
1869,11383,해맑은,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 성북구 길음1동,,127.019989,37.608162,서울
1880,11452,홍제동,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 서대문구 홍제3동,,126.94901100000001,37.595178000000004,서울
1888,11463,황학정,P,공공,P14,국궁장,P1401,국궁장,정상운영,3027.0,서울특별시 종로구 사직로9길 15-32 (사직동),,3027.0,서울특별시 종로구 사직동  산1-1,,126.9639457,37.57791908,서울
1918,11526,궁도장 옆,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 금천구 시흥2동,,126.92023999999999,37.455174,서울
1926,11636,천불사 옆,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 금천구 시흥4동,,126.913417,37.462179,서울
1932,11684,광성고 옆 쉼터,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 마포구 신수동 89-24,,126.9381997,37.54821878,서울
1934,11686,녹천역 앞 광장,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 노원구 월계2동,,127.052098,37.642768,서울
2044,12163,대흥동 쉼터,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 마포구 대흥동 759 일대,,126.94098229999999,37.54407201,서울
2079,12366,백련교 우안 상류 간이운동장,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 서대문구 서울특별시 서대문구 연희로 298,,126.93620959999998,37.58360524,서울
2081,12368,사천교 우안 상류 간이운동장,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 서대문구 서울특별시 서대문구 모래내로 143,,126.9173091,37.56950557,서울
2082,12369,연가교 우안 상류 간이운동장,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 서대문구 서울특별시 서대문구 모래내로 215,,126.9231726,37.57389917,서울
2083,12370,와산교 좌안 하류 간이운동장,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 서대문구 서울특별시 서대문구 불광천길 284,,126.9135221,37.58670102,서울
2084,12371,해담는 다리 좌안 간이운동장,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 서대문구 서울특별시 서대문구 불광천길156,,126.90912560000001,37.58209545,서울
2085,12372,홍남교 좌안 상류 간이운동장,P,공공,P08,간이운동장,P0801,간이운동장,정상운영,,,,,서울특별시 서대문구 서울특별시 서대문구 홍제천로 120,,,,서울
