,행정동,경로당수,사회복지시설수,노인교실수,노인인구비율,새벽생활인구,아침생활인구,낮생활인구,저녁생활인구,밤생활인구
0,가락동,24.0,0.0,0.0,0.12593333333333334,895.70587815,931.1174194499999,906.2374245999999,931.89437995,929.8269619
1,가리봉동,4.0,0.0,1.0,0.1578,314.65700899999996,297.5047942,286.97022369999996,304.48316939999995,310.5746244
2,가산동,9.0,0.0,0.0,0.1016,656.474565,898.403268,1329.465733,990.4179673,742.7288191
3,가양동,24.0,0.0,3.0,0.19756666666666667,621.5184893333334,661.9613113,686.4913747666666,670.4573909000001,650.6861143
4,가회동,1.0,0.0,0.0,0.2039,148.9309037,157.2239723,189.4926136,155.2064975,145.7751921
5,갈월동,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,갈현동,11.0,1.0,3.0,0.1802,859.1874461,812.6092763499998,739.0981499,820.9969693,864.0768155999999
7,강일동,11.0,0.0,0.0,0.1487,1370.3699589999999,1325.630367,1189.312941,1297.209275,1374.541127
8,개봉동,29.0,0.0,3.0,0.19256666666666666,934.5563689666666,861.1630131333335,756.0248154999999,852.7022809,911.7701096333334
9,개포동,21.0,0.0,6.0,0.17149999999999999,570.5095226333333,581.1661662666667,529.3899692,503.89609806666664,525.7102537999999
10,개화동,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,거여동,17.0,0.0,1.0,0.18059999999999998,510.20446685,495.61411459999994,451.79913424999995,480.10199389999997,503.38261995000005
12,고덕동,12.0,1.0,2.0,0.11760000000000001,715.48481465,722.1529158999999,674.78942465,707.01971115,723.2511916000001
13,고척동,24.0,0.0,3.0,0.18505,762.5857746,722.26673495,646.032641,676.34526205,725.9013385999999
14,공덕동,12.0,0.0,1.0,0.1516,1062.140621,1033.321649,961.2493675000001,947.9291719,1014.3653220000001
15,공릉동,40.0,1.0,2.0,0.1491,1351.181384,1320.3424605,1247.809573,1316.9897375,1354.07503
16,공항동,7.0,0.0,1.0,0.133,866.5740806,932.7029759999999,931.6370567,889.7947429,846.1680158
17,관수동,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,관철동,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
