,lgdng_cd,ctpv_nm,행정동,법정동,adstrd_cd,admn_inst_cd
1,1111000000,서울특별시,종로구,종로구,11010,1111000000
2,1111010100,서울특별시,청운효자동,청운동,1101072,1111051500
3,1111010200,서울특별시,청운효자동,신교동,1101072,1111051500
4,1111010300,서울특별시,청운효자동,궁정동,1101072,1111051500
5,1111010400,서울특별시,청운효자동,효자동,1101072,1111051500
6,1111010500,서울특별시,청운효자동,창성동,1101072,1111051500
7,1111010800,서울특별시,청운효자동,통인동,1101072,1111051500
8,1111010900,서울특별시,청운효자동,누상동,1101072,1111051500
9,1111011000,서울특별시,청운효자동,누하동,1101072,1111051500
10,1111011100,서울특별시,청운효자동,옥인동,1101072,1111051500
11,1111011900,서울특별시,청운효자동,세종로,1101072,1111051500
12,1111010600,서울특별시,사직동,통의동,1101053,1111053000
13,1111010700,서울특별시,사직동,적선동,1101053,1111053000
14,1111011200,서울특별시,사직동,체부동,1101053,1111053000
15,1111011300,서울특별시,사직동,필운동,1101053,1111053000
16,1111011400,서울특별시,사직동,내자동,1101053,1111053000
17,1111011500,서울특별시,사직동,사직동,1101053,1111053000
18,1111011600,서울특별시,사직동,도렴동,1101053,1111053000
19,1111011700,서울특별시,사직동,당주동,1101053,1111053000
20,1111011800,서울특별시,사직동,내수동,1101053,1111053000
21,1111011900,서울특별시,사직동,세종로,1101053,1111053000
22,1111012000,서울특별시,사직동,신문로1가,1101053,1111053000
23,1111012100,서울특별시,사직동,신문로2가,1101053,1111053000
24,1111013900,서울특별시,삼청동,팔판동,1101054,1111054000
25,1111014000,서울특별시,삼청동,삼청동,1101054,1111054000
26,1111014100,서울특별시,삼청동,안국동,1101054,1111054000
27,1111014200,서울특별시,삼청동,소격동,1101054,1111054000
28,1111014300,서울특별시,삼청동,화동,1101054,1111054000
29,1111014400,서울특별시,삼청동,사간동,1101054,1111054000
30,1111014500,서울특별시,삼청동,송현동,1101054,1111054000
31,1111018400,서울특별시,부암동,부암동,1101055,1111055000
32,1111018500,서울특별시,부암동,홍지동,1101055,1111055000
33,1111018600,서울특별시,부암동,신영동,1101055,1111055000
34,1111018200,서울특별시,평창동,구기동,1101056,1111056000
35,1111018300,서울특별시,평창동,평창동,1101056,1111056000
36,1111018700,서울특별시,무악동,무악동,1101057,1111057000
37,1111017600,서울특별시,교남동,교남동,1101058,1111058000
38,1111017700,서울특별시,교남동,평동,1101058,1111058000
39,1111017800,서울특별시,교남동,송월동,1101058,1111058000
40,1111017900,서울특별시,교남동,홍파동,1101058,1111058000
41,1111018000,서울특별시,교남동,교북동,1101058,1111058000
42,1111018100,서울특별시,교남동,행촌동,1101058,1111058000
43,1111014600,서울특별시,가회동,가회동,1101060,1111060000
44,1111014700,서울특별시,가회동,재동,1101060,1111060000
45,1111014800,서울특별시,가회동,계동,1101060,1111060000
46,1111014900,서울특별시,가회동,원서동,1101060,1111060000
47,1111011900,서울특별시,종로1·2·3·4가동,세종로,1101061,1111061500
48,1111012200,서울특별시,종로1·2·3·4가동,청진동,1101061,1111061500
49,1111012300,서울특별시,종로1·2·3·4가동,서린동,1101061,1111061500
50,1111012400,서울특별시,종로1·2·3·4가동,수송동,1101061,1111061500
51,1111012500,서울특별시,종로1·2·3·4가동,중학동,1101061,1111061500
52,1111012600,서울특별시,종로1·2·3·4가동,종로1가,1101061,1111061500
53,1111012700,서울특별시,종로1·2·3·4가동,공평동,1101061,1111061500
54,1111012800,서울특별시,종로1·2·3·4가동,관훈동,1101061,1111061500
55,1111012900,서울특별시,종로1·2·3·4가동,견지동,1101061,1111061500
56,1111013000,서울특별시,종로1·2·3·4가동,와룡동,1101061,1111061500
57,1111013100,서울특별시,종로1·2·3·4가동,권농동,1101061,1111061500
58,1111013200,서울특별시,종로1·2·3·4가동,운니동,1101061,1111061500
59,1111013300,서울특별시,종로1·2·3·4가동,익선동,1101061,1111061500
60,1111013400,서울특별시,종로1·2·3·4가동,경운동,1101061,1111061500
61,1111013500,서울특별시,종로1·2·3·4가동,관철동,1101061,1111061500
62,1111013600,서울특별시,종로1·2·3·4가동,인사동,1101061,1111061500
63,1111013700,서울특별시,종로1·2·3·4가동,낙원동,1101061,1111061500
64,1111013800,서울특별시,종로1·2·3·4가동,종로2가,1101061,1111061500
65,1111015000,서울특별시,종로1·2·3·4가동,훈정동,1101061,1111061500
66,1111015100,서울특별시,종로1·2·3·4가동,묘동,1101061,1111061500
67,1111015200,서울특별시,종로1·2·3·4가동,봉익동,1101061,1111061500
68,1111015300,서울특별시,종로1·2·3·4가동,돈의동,1101061,1111061500
69,1111015400,서울특별시,종로1·2·3·4가동,장사동,1101061,1111061500
70,1111015500,서울특별시,종로1·2·3·4가동,관수동,1101061,1111061500
71,1111015600,서울특별시,종로1·2·3·4가동,종로3가,1101061,1111061500
72,1111015700,서울특별시,종로1·2·3·4가동,인의동,1101061,1111061500
73,1111015800,서울특별시,종로1·2·3·4가동,예지동,1101061,1111061500
74,1111015900,서울특별시,종로1·2·3·4가동,원남동,1101061,1111061500
75,1111016100,서울특별시,종로1·2·3·4가동,종로4가,1101061,1111061500
76,1111016000,서울특별시,종로5·6가동,연지동,1101063,1111063000
77,1111016200,서울특별시,종로5·6가동,효제동,1101063,1111063000
78,1111016300,서울특별시,종로5·6가동,종로5가,1101063,1111063000
79,1111016400,서울특별시,종로5·6가동,종로6가,1101063,1111063000
80,1111016700,서울특별시,종로5·6가동,충신동,1101063,1111063000
81,1111016500,서울특별시,이화동,이화동,1101064,1111064000
82,1111016600,서울특별시,이화동,연건동,1101064,1111064000
83,1111016800,서울특별시,이화동,동숭동,1101064,1111064000
84,1111013000,서울특별시,혜화동,와룡동,1101073,1111065000
85,1111016900,서울특별시,혜화동,혜화동,1101073,1111065000
86,1111017000,서울특별시,혜화동,명륜1가,1101073,1111065000
87,1111017100,서울특별시,혜화동,명륜2가,1101073,1111065000
88,1111017200,서울특별시,혜화동,명륜4가,1101073,1111065000
89,1111017300,서울특별시,혜화동,명륜3가,1101073,1111065000
90,1111017400,서울특별시,창신제1동,창신동,1101067,1111067000
91,1111017400,서울특별시,창신제2동,창신동,1101068,1111068000
92,1111017400,서울특별시,창신제3동,창신동,1101069,1111069000
93,1111017500,서울특별시,숭인제1동,숭인동,1101070,1111070000
94,1111017500,서울특별시,숭인제2동,숭인동,1101071,1111071000
95,1114000000,서울특별시,중구,중구,11020,1114000000
96,1114011100,서울특별시,소공동,소공동,1102052,1114052000
97,1114011300,서울특별시,소공동,북창동,1102052,1114052000
98,1114011400,서울특별시,소공동,태평로2가,1102052,1114052000
99,1114011500,서울특별시,소공동,남대문로2가,1102052,1114052000
100,1114011600,서울특별시,소공동,남대문로3가,1102052,1114052000
101,1114011700,서울특별시,소공동,남대문로4가,1102052,1114052000
102,1114011900,서울특별시,소공동,봉래동1가,1102052,1114052000
103,1114016600,서울특별시,소공동,서소문동,1102052,1114052000
104,1114016700,서울특별시,소공동,정동,1102052,1114052000
