,Unnamed: 0,구명,단지명,주택유형,세대수,입주개시일,주소,우편번호,전화번호,경도,위도,H/B,행정동,행정동_경도,행정동_위도
0,0,강남구,대치1,영구임대,1623,1992-01-15,개포로109길 9 (개포동 대치아파트),6335,,37.495752092135,127.07509618312099,H,일원2동,127.07369959446872,37.49217318132317
1,1,강남구,수서1-1단지,영구공공,2214,1992-11-01,양재대로55길 10 (일원동 수서1단지 에스에이치빌),6341,,37.4931540384403,127.09099139600599,H,일원1동,127.08806917419275,37.49187862508384
2,2,강남구,수서6,영구임대,1508,1992-12-01,광평로56길 11 (수서동 수서6단지아파트),6368,,37.487978814880705,127.105630698531,H,수서동,127.10500397212131,37.48888785942371
3,3,강서구,보람더하임,재건축,202,2008-04-01,양천로 666 (염창동 보람 더하임),7554,,37.551515754875496,126.870509799741,H,염창동,126.87098534896086,37.553736243141515
4,4,강남구,신사삼지래미안,재건축,63,2009-03-20,압구정로2길 20 (신사동 래미안 신사),6027,,37.5201049771688,127.019620204079,H,신사동,127.02277448907014,37.52398502986103
5,5,강남구,래미안그레이튼,재건축,476,2010-03-05,도곡로43길 20 (역삼동 래미안 그레이튼),6219,,37.4968651846123,127.048617116855,H,역삼2동,127.0468346777432,37.49596751103195
6,6,강남구,래미안그레이튼2차,재건축,464,2011-01-20,도곡로43길 21 (역삼동 래미안그레이튼),6219,,37.495727772969,127.047011616273,H,역삼2동,127.0468346777432,37.49596751103195
7,7,강남구,세곡리엔파크1단지,국민장기,395,2011-03-01,헌릉로590길 100 (세곡동 세곡리엔파크1단지),6366,,37.463529266275394,127.10102449475,H,세곡동,127.10676026214176,37.46444010154397
8,8,강남구,신동아 파밀리에(세곡리엔파크2단지),국민장기,410,2011-03-01,헌릉로590길 10 (세곡동 세곡리엔파크2단지),6365,,37.464504985827496,127.102680316828,H,세곡동,127.10676026214176,37.46444010154397
9,9,강남구,세곡리엔파크3단지,국민장기,363,2011-03-01,헌릉로590길 11 (세곡동 세곡리엔파크3단지),6365,,37.4643876362108,127.10416499608299,H,세곡동,127.10676026214176,37.46444010154397
10,10,강남구,세곡리엔파크4단지,국민장기,407,2011-06-22,헌릉로590길 88 (세곡동 세곡리엔파크4단지),6366,,37.4628776555918,127.101444329255,H,세곡동,127.10676026214176,37.46444010154397
11,11,강남구,청담자이,재건축,708,2011-11-07,영동대로138길 12 (청담동 청담자이아파트),6076,,37.524101472857296,127.057249781197,H,청담동,127.04931002321993,37.52511579897959
12,12,강남구,강남데시앙파크(세곡리엔파크5단지),국민장기,546,2011-11-14,헌릉로590길 63 (세곡동 강남데시앙파크),6366,,37.461046536966705,127.101540870536,H,세곡동,127.10676026214176,37.46444010154397
13,13,강남구,개나리에스케이뷰,재건축,240,2012-09-01,역삼로 315-1 (역삼동 개나리SK뷰),6213,,37.5005684337476,127.050071033953,H,역삼2동,127.0468346777432,37.49596751103195
14,14,강남구,도곡진달래(래미안도곡카운티),재건축,397,2013-05-20,도곡로 320 (도곡동 래미안도곡카운티),6275,,37.4956390045387,127.052002706504,H,도곡2동,127.04638382177308,37.483728401661516
15,15,강남구,역삼동 공공원룸텔,기타임대,30,2013-09-23,도곡로23길 5 (역삼동),6257,,37.4925244213152,127.039646059967,H,역삼1동,127.03320108651666,37.49542431718493
16,16,강남구,테헤란아이파크,재건축,411,2014-02-14,테헤란로52길 16 (역삼동 테헤란IPARK),6213,,37.5024975518382,127.046381406708,H,역삼2동,127.0468346777432,37.49596751103195
17,17,강남구,세곡2-3(래미안포레),영구국민장기,1070,2014-03-15,밤고개로21길 25 (자곡동 래미안포레),6370,,37.4750475248595,127.107644379249,H,세곡동,127.10676026214176,37.46444010154397
18,18,강남구,세곡2-4(강남한양수자인),영구국민장기,1304,2014-03-17,자곡로 260 (자곡동 강남한양수자인아파트),6370,,37.47654871554371,127.111605691158,H,세곡동,127.10676026214176,37.46444010154397
19,19,강남구,경복논현아크로힐스,재건축,368,2014-12-29,언주로 604 (논현동 ACROHILLS논현),6102,,37.5095303215604,127.038421201117,H,논현2동,127.03735990690524,37.51739318345911
20,20,강남구,강남한신휴플러스6(세곡2-6),국민장기,378,2015-09-30,밤고개로26길 50 (율현동 강남 한신휴플러스 6단지),6377,,37.467811077532396,127.104821314643,H,세곡동,127.10676026214176,37.46444010154397
21,21,강남구,강남한신휴플러스8(세곡2-8),국민장기,169,2015-09-30,밤고개로27길 20 (율현동 강남 한신휴플러스 8단지),6378,,37.4709019186514,127.109766293616,H,세곡동,127.10676026214176,37.46444010154397
22,22,강남구,수서하니움,장기전세,73,2016-01-20,광평로60길 32 (수서동 하니움),6369,,37.486600928841895,127.107203475559,H,수서동,127.10500397212131,37.48888785942371
23,23,강남구,래미안대치팰리스,재건축,1608,2016-04-19,삼성로51길 37 (대치동 래미안 대치 팰리스(1단지)),6280,,37.4934361918055,127.057697682666,H,대치1동,127.05682016381063,37.49326010984354
24,24,강남구,역삼자이,재건축,408,2016-07-15,언주로 420 (역삼동 역삼자이아파트),6214,,37.500962635548,127.04416862223101,H,역삼2동,127.0468346777432,37.49596751103195
25,25,강남구,래미안개포루체하임(일원동현대),행복(재건축),850,2019-03-08,개포로 110길 50(일원동 689-1),6344,,37.4895410084374,127.07962422520399,H,일원2동,127.07369959446872,37.49217318132317
26,26,강남구,래미안블레스티지(개포주공2차),행복(재건축),1957,2019-03-08,강남구 선릉로 8(개포동 140),6326,,37.480057578933,127.06415338276199,H,개포2동,127.06913357484176,37.48978647004139
27,27,강남구,디에이치아너힐즈(개포주공3),행복(재건축),1320,2019-10-07,강남구 삼성로 11(개포동 138 외),6327,,37.4844402093504,127.067960222798,H,개포2동,127.06913357484176,37.48978647004139
28,28,강동구,천호삼성(천호4),재개발,247,1997-05-08,성안로25길 15 (천호동 삼성아파트),5338,,37.5378655264436,127.13481141613701,H,천호3동,127.12984610646093,37.539834728878645
29,29,강동구,천호동아코아(천호5),재개발,191,1998-02-28,구천면로 189 (천호동 동아코아아파트),5327,,37.5415920129665,127.125536352486,H,천호2동,127.1254393146216,37.54344348896423
30,30,강동구,천호태영(천호6),재개발,264,2000-02-07,천호대로 1055 (천호동 천호태영아파트),5336,,37.538369715971704,127.12942446783998,H,천호3동,127.12984610646093,37.539834728878645
31,31,강동구,강일지구1단지(강일리버파크1단지),국민장기,282,2009-03-23,아리수로93가길 25 (강일동 강일리버파크1단지아파트),5211,,37.5668679397024,127.172024343708,H,강일동,127.17391966164308,37.564944692060216
32,32,강동구,강일지구2단지(강일리버파크2단지),국민장기,442,2009-03-23,아리수로97길 68 (강일동 강일리버파크2단지아파트),5208,,37.568730756153606,127.17665461227301,H,강일동,127.17391966164308,37.564944692060216
33,33,강동구,강일지구3단지(강일리버파크3단지),국민장기,987,2009-03-23,아리수로93길 40 (강일동 강일리버파크3단지아파트),5210,,37.5655171416703,127.17510664157801,H,강일동,127.17391966164308,37.564944692060216
34,34,강동구,강일지구4단지(강일리버파크4단지),국민장기,748,2009-03-23,아리수로97길 19 (강일동 강일리버파크4단지아파트),5210,,37.5669952358435,127.17679132286001,H,강일동,127.17391966164308,37.564944692060216
35,35,강동구,강일지구6단지(강일리버파크6단지),국민장기,553,2009-03-23,아리수로94길 19 (강일동 강일리버파크6단지아파트),5213,,37.562733006150495,127.17726024629299,H,강일동,127.17391966164308,37.564944692060216
36,36,강동구,강일지구8단지(강일리버파크8단지),국민장기,410,2009-03-23,아리수로94길 72 (강일동 강일리버파크8단지아파트),5212,,37.560722295971296,127.17626956114799,H,강일동,127.17391966164308,37.564944692060216
37,37,강동구,강일지구9단지(강일리버파크9단지),국민장기,841,2009-04-19,고덕로97길 29 (강일동 강일리버파크9단지아파트),5216,,37.558354026903295,127.17783262384899,H,강일동,127.17391966164308,37.564944692060216
38,38,강동구,강일지구10단지(강일리버파크10단지),국민장기,694,2009-04-19,고덕로97길 20 (강일동 강일리버파크),5215,,37.5592084943697,127.17999761663401,H,강일동,127.17391966164308,37.564944692060216
39,39,강동구,강일지구7단지(강일리버파크7단지),국민장기,731,2009-06-25,아리수로98길 25 (강일동 강일리버파크7단지아파트),5214,,37.565276572748395,127.178358990921,H,강일동,127.17391966164308,37.564944692060216
40,40,강동구,강일지구5단지(강일리버파크5단지),국민장기,722,2009-08-01,아리수로97길 20 (강일동 강일리버파크5단지아파트),5209,,37.5685142719635,127.178137155501,H,강일동,127.17391966164308,37.564944692060216
41,41,강동구,고덕아이파크,재건축,1142,2010-03-05,동남로79길 26 (고덕동 고덕아이파크),5232,,37.5591838811941,127.15374424363199,H,고덕1동,127.1515020153247,37.55726306223973
42,42,강동구,고덕리엔파크1단지,국민장기,605,2011-01-15,상일로 152 (강일동 고덕리엔파크1단지아파트),5218,,37.5616354948966,127.171346232915,H,강일동,127.17391966164308,37.564944692060216
43,43,강동구,고덕리엔파크2단지,국민장기,636,2011-01-15,고덕로 427 (강일동 고덕리엔파크2단지아파트),5217,,37.558797292137605,127.173182162867,H,강일동,127.17391966164308,37.564944692060216
44,44,강동구,고덕리엔파크3단지,국민장기,2283,2011-01-30,상일로 74 (상일동 고덕리엔파크3단지아파트),5287,,37.5513683747695,127.174785524346,H,상일2동,127.17760151552136,37.552011719375116
45,45,강동구,강일지구 11단지(행복주택),행복(공사 건설형),346,2015-12-28,고덕로97길 100 (강일동 강일리버파크11단지),5214,,37.562734998585796,127.179992858104,H,강일동,127.17391966164308,37.564944692060216
46,46,강동구,강일2 도시형생활주택(준주거2)(임대),기타임대,76,2016-04-01,상일로12길 89 (강일동 리엔타운),5285,,37.5563707116976,127.172886593605,H,상일2동,127.17760151552136,37.552011719375116
47,47,강동구,올림픽파크한양수자인,재건축,482,2016-08-26,성내로 80 (성내동 올림픽파크한양수자인),5401,,37.5271796181821,127.127965319697,H,성내1동,127.12242177123132,37.53047946477166
48,48,강동구,고덕래미안힐스테이트,재건축,3658,2017-01-05,아리수로50길 50 (고덕동 래미안힐스테이트고덕),4731,,37.557689137177604,127.148600236458,H,고덕1동,127.1515020153247,37.55726306223973
49,49,강동구,고덕숲아이파크,재건축,687,2017-12-01,고덕로80길 134(상일동 고덕숲아이파크) ,5277,,37.55171845592729,127.164857017437,H,상일1동,127.16462039509204,37.55064299525213
50,50,강동구,래미안 명일역 솔베뉴(삼익그린),행복(재건축),1900,2019-10-07,강동구 양재대로 1650(명일동 309-1),5226,,37.55438987866221,127.145918080688,H,명일1동,127.1460821730888,37.549806031706424
51,51,강동구,고덕 그라시움(고덕2),행복(재건축),4932,2019-10-07,강동구 동남로82길 98(고덕동 220),5224,,37.5561805813458,127.159323340926,H,고덕2동,127.1643659743796,37.56052548107242
52,52,강북구,래미안수유(수유2),재개발,180,2000-07-01,한천로159길 8 (수유동 래미안수유아파트),1040,,37.6444547640044,127.018655185471,H,수유2동,127.01993324444145,37.64466097042541
53,53,강북구,SK북한산시티(미아1-1),재개발,1497,2001-11-17,솔샘로 174 (미아동 SK북한산시티아파트),1192,,37.617638362841795,127.010599691076,H,삼각산동,127.02083597831674,37.6150544065232
54,54,강북구,미아벽산(미아1-2),재개발,490,2002-11-18,솔샘로 159 (미아동 벽산라이브파크),1191,,37.6218232749574,127.012407457085,H,삼양동,127.01838797999687,37.62734428383054
55,55,강북구,삼각산아이원(미아5),재개발,673,2004-02-23,삼양로19길 113 (미아동 삼각산아이원아파트),1198,,37.617055559706394,127.01772328903799,H,삼각산동,127.02083597831674,37.6150544065232
56,56,강북구,미아SH-Ville(미아2),재개발,57,2007-09-27,삼양로 246-14 (미아동 미아 에스에이치빌 아파트),1127,,37.6254213590597,127.019197227185,H,삼양동,127.01838797999687,37.62734428383054
57,57,강북구,래미안트리베라1차(래미안트리베라6),재개발,1247,2010-05-29,삼양로19길 25 (미아동 삼성래미안트리베라1차아파트),1200,,37.6156943247238,127.021139026425,H,삼각산동,127.02083597831674,37.6150544065232
58,58,강북구,래미안트리베라2차(래미안트리베라12),재개발,1330,2010-06-14,삼양로27길 19 (미아동 삼성래미안트리베라아파트),1195,,37.6161238065432,127.021741379374,H,삼각산동,127.02083597831674,37.6150544065232
59,59,강북구,송천동부(미아10-1),재개발,376,2010-09-30,숭인로 39 (미아동 송천센트레빌),1213,,37.612757421034104,127.026678655065,H,송천동,127.02386795319367,37.61830820181232
