,분류,시설명,x좌표,y좌표,법정동,행정동,H/B,행정동,행정동_경도,행정동_위도
0,간이운동장,돌   뫼,127.05276299999998,37.605125,석관동,석관동,H,석관동,127.06143701887393,37.61298239556146
1,간이운동장,동   방,127.043551,37.616625,장위동,장위제1동,H,장위1동,127.04373729400763,37.61404624155756
2,간이운동장,동   산,127.03229,37.605577,하월곡동,길음제2동,H,월곡1동,127.03577556024297,37.610553086871164
3,간이운동장,밤   골,127.039928,37.607571,하월곡동,길음제2동,H,월곡1동,127.03577556024297,37.610553086871164
4,간이운동장,삼   선,127.008989,37.582602,삼선동1가,삼선동,H,삼선동,127.01467420944992,37.59083671246933
5,간이운동장,샛   별,127.06414,37.614111,석관동,석관동,H,석관동,127.06143701887393,37.61298239556146
6,간이운동장,종   암,127.037177,37.600157,종암동,종암동,H,종암동,127.03521291885305,37.59906022703642
7,간이운동장,햇   살,127.048607,37.60591,상월곡동,월곡제2동,H,월곡2동,127.04788645493356,37.60579156949435
8,간이운동장,향   기,127.044668,37.610056,상월곡동,월곡제2동,H,월곡2동,127.04788645493356,37.60579156949435
9,간이운동장,고암,127.031753,37.599942,종암동,종암동,H,종암동,127.03521291885305,37.59906022703642
10,간이운동장,매화,127.017298,37.600657,정릉동,정릉제1동,H,정릉1동,127.01665578077184,37.601446524312756
11,간이운동장,솔숲,127.01493700000002,37.604874,정릉동,정릉제1동,H,정릉1동,127.01665578077184,37.601446524312756
12,간이운동장,한울,127.013692,37.605388,정릉동,정릉제1동,H,정릉2동,127.01114809300374,37.604474500708825
13,간이운동장,아현 녹지,126.9629055,37.55697602,아현동,아현동,H,공덕동,126.96003451324378,37.55017434738842
14,체육관,성북 펜싱 체육관,127.0381601,37.60158335,종암동,종암동,H,종암동,127.03521291885305,37.59906022703642
15,간이운동장,서교 걷고 싶은거리쉼터,126.92203899999998,37.55365845,서교동,서교동,H,서교동,126.91459072347962,37.55510931339116
16,간이운동장,쌍문 근린공원,127.032875,37.653947,쌍문동,쌍문제1동,H,쌍문4동,127.028426823307,37.65646931555102
17,간이운동장,창동 공공공지,127.04531,37.660124,창동,창제1동,H,창4동,127.04541886673523,37.659970618358386
18,간이운동장,남산 게이트볼장,127.0666366,37.43343142,신원동,내곡동,H,내곡동,127.0769169347293,37.45824631311163
19,간이운동장,신양 동네체육시설,126.996626,37.58344,명륜3가,혜화동,H,혜화동,127.0006204504988,37.586855235994356
20,간이운동장,천연 야외운동시설,126.9620669,37.56825262,천연동,천연동,H,천연동,126.95840436592846,37.56748013604264
21,간이운동장,홍제 야외운동시설,126.949353,37.59501817,홍제동,홍제제1동,H,홍제3동,126.94974338256897,37.59378217899066
22,간이운동장,응봉(한마음) 배드민턴장,127.0145217,37.55167948,신당동,신당동,H,약수동,127.00900370980592,37.55243326328505
23,국궁장,관악정,126.93377959999998,37.45860238,신림동,서원동,H,삼성동,126.93297358189791,37.47014568749082
24,간이운동장,깃대봉,126.995109,37.582954,와룡동,종로1·2·3·4가동,H,종로1.2.3.4가동,126.99028726084354,37.574435539666744
25,간이운동장,꿈나라,127.022937,37.580276,보문동7가,보문동,H,보문동,127.02280976990156,37.580380297758296
26,간이운동장,동망봉,127.020345,37.58488,보문동1가,보문동,H,보문동,127.02280976990156,37.580380297758296
27,간이운동장,두산힐,127.009979,37.501354,반포동,반포본동,H,반포4동,127.00030759341732,37.49747606930116
28,간이운동장,등산로,127.145588,37.56197,암사동,암사제1동,H,암사3동,127.14072352978943,37.55506715646136
29,간이운동장,등산로,127.1463,37.561537,암사동,암사제1동,H,암사3동,127.14072352978943,37.55506715646136
30,간이운동장,맑은숲,127.046566,37.62045300000001,장위동,장위제1동,H,장위3동,127.05660576530715,37.61654912217553
31,간이운동장,배밭골,126.998958,37.607875,정릉동,정릉제1동,H,정릉3동,127.00418588228014,37.60895827824116
32,간이운동장,범바위,127.021523,37.585322,안암동2가,안암동,H,안암동,127.02136222611746,37.585833380628706
33,간이운동장,새소리,127.02555900000002,37.600827,돈암동,동선동,H,돈암1동,127.02638631628797,37.603419721009935
34,간이운동장,솔향기,127.021427,37.608099,길음동,길음제1동,H,길음1동,127.01950278200795,37.61039832392342
35,간이운동장,족구장,126.9222406,37.57312011,남가좌동,남가좌제1동,H,남가좌2동,126.92387430912281,37.57844784858833
36,간이운동장,테스트,126.90679070000002,37.51161391,영등포동,영등포본동,H,영등포본동,126.90935224775124,37.514672109589846
37,골프연습장,테스트,127.1161666,37.52103247,방이동,방이1동,H,오륜동,127.13430567724342,37.515416211063034
38,간이운동장,해맑은,127.019989,37.608162,길음동,길음제1동,H,길음1동,127.01950278200795,37.61039832392342
39,간이운동장,홍제동,126.949011,37.595178,홍제동,홍제제1동,H,홍제3동,126.94974338256897,37.59378217899066
40,국궁장,황학정,126.9639457,37.57791908,사직동,사직동,H,사직동,126.96884605608865,37.57618696588561
41,간이운동장,궁도장 옆,126.92024,37.455174,시흥동,시흥제1동,H,시흥2동,126.91490525516842,37.44955854718203
42,간이운동장,천불사 옆,126.913417,37.462179,시흥동,시흥제1동,H,시흥4동,126.90619588118409,37.4590450263828
43,간이운동장,광성고 옆 쉼터,126.9381997,37.54821878,신수동,대흥동,H,신수동,126.93522686585762,37.547020661932734
44,간이운동장,녹천역 앞 광장,127.052098,37.642768,월계동,월계1동,H,월계2동,127.0507448981587,37.63249204970492
45,간이운동장,대흥동 쉼터,126.9409823,37.54407201,대흥동,용강동,H,용강동,126.94277604266684,37.54227449400425
46,간이운동장,백련교 우안 상류 간이운동장,126.93620959999998,37.58360524,홍은동,홍은제1동,H,홍은2동,126.93422909114362,37.58015154435787
47,간이운동장,사천교 우안 상류 간이운동장,126.9173091,37.56950557,남가좌동,남가좌제1동,H,남가좌1동,126.91978625354398,37.57327343428088
48,간이운동장,연가교 우안 상류 간이운동장,126.9231726,37.57389917,남가좌동,남가좌제1동,H,남가좌2동,126.92387430912281,37.57844784858833
49,간이운동장,와산교 좌안 하류 간이운동장,126.9135221,37.58670102,북가좌동,북가좌제1동,H,북가좌2동,126.91120495158435,37.58150598085826
50,간이운동장,해담는 다리 좌안 간이운동장,126.9091256,37.58209545,북가좌동,북가좌제1동,H,북가좌2동,126.91120495158435,37.58150598085826
51,간이운동장,홍제교 좌안 상류 간이운동장,126.9463425,37.59298781,홍제동,홍제제1동,H,홍제3동,126.94974338256897,37.59378217899066
52,간이운동장,광장동 실내 배드민턴장,127.100198,37.54442627,광장동,광장동,H,광장동,127.10303485977407,37.54692499880753
53,간이운동장,포방교 상류 간이운동장,126.948164,37.59837295,홍제동,홍제제1동,H,홍제3동,126.94974338256897,37.59378217899066
54,간이운동장,구일역 풋살장,126.8703344,37.49309810000001,구로동,구로제1동,H,구로1동,126.87581202489278,37.49302829977519
55,간이운동장,중랑천 노원교 밑,127.046421,37.679332,도봉동,도봉제1동,H,도봉2동,127.04654920347146,37.66971518632491
56,간이운동장,중랑천 녹천교 밑,127.055736,37.644668,상계동,상계1동,H,상계6.7동,127.06696547975842,37.65488602435384
57,간이운동장,중랑천 창동교 밑,127.052457,37.654373,창동,창제1동,H,창4동,127.04541886673523,37.659970618358386
58,간이운동장,창전동 보호수 정자마당,126.9283453,37.54848712,창전동,서강동,H,서강동,126.9320305511775,37.54774687230983
59,간이운동장,공덕동 체육시설,126.9617272,37.55076957,공덕동,아현동,H,공덕동,126.96003451324378,37.55017434738842
60,간이운동장,도화동 체육시설,126.9519631,37.53683655,도화동,공덕동,H,도화동,126.94988256330043,37.541549716235735
61,간이운동장,방학동 공공공지,127.045474,37.664439,방학동,방학제1동,H,방학1동,127.04067939030433,37.664235791344225
62,간이운동장,신남동 테니스장,126.996298,37.583666,명륜3가,혜화동,H,혜화동,127.0006204504988,37.586855235994356
63,간이운동장,연남동 체육시설,126.9216863,37.56625055,연남동,연남동,H,연남동,126.9220774376252,37.564571353589294
64,간이운동장,우이천 번창교밑,127.032439,37.642919,창동,창제1동,H,창2동,127.03565438634313,37.64140651574173
65,간이운동장,우이천 수유교밑 분수대옆,127.031081,37.645956,쌍문동,쌍문제1동,H,쌍문3동,127.02793444193848,37.64896604899964
66,간이운동장,우이천 수유교밑(하천) 시설,127.032361,37.644451,창동,창제1동,H,창2동,127.03565438634313,37.64140651574173
67,간이운동장,구일역 게이트볼장,126.8703344,37.49309810000001,구로동,구로제1동,H,구로1동,126.87581202489278,37.49302829977519
68,간이운동장,매봉산 배드민턴장,127.0063233,37.545366,신당동,신당동,H,약수동,127.00900370980592,37.55243326328505
69,간이운동장,목감천 배드민턴장,126.8616242,37.49161678,개봉동,개봉제1동,H,개봉2동,126.85654294398566,37.49088009723622
70,간이운동장,성산동 게이트볼장,126.9002477,37.56319983,성산동,성산제1동,H,성산2동,126.90899709145033,37.56865612002697
71,간이운동장,안양천 파크골프장(우안),126.8805409,37.51366142,신도림동,신도림동,H,신도림동,126.88061022867365,37.507780905043674
72,간이운동장,안양천 파크골프장(좌안),126.8699645,37.50383074,고척동,고척제1동,H,고척1동,126.86276286677003,37.50035525847666
73,간이운동장,북아현 야외운동시설,126.957149,37.56172773,북아현동,북아현동,H,충현동,126.95472045972106,37.564819040623895
74,간이운동장,영천동 야외운동시설,126.961103,37.570491,영천동,천연동,H,천연동,126.95840436592846,37.56748013604264
75,간이운동장,우면산 도시자연공원,127.008501,37.471446,방배동,서초3동,H,방배3동,126.9999954777151,37.478439573373386
76,체육관,광장동 실내배드민턴장,127.100198,37.54442627,광장동,광장동,H,광장동,127.10303485977407,37.54692499880753
77,간이운동장,목감천 인라인스케이트장,126.8533205,37.48268779,개봉동,개봉제1동,H,개봉3동,126.8538521799804,37.48601136080129
78,간이운동장,대치교_남단,127.0734486,37.49918317,대치동,대치1동,H,일원2동,127.07369959446872,37.49217318132317
79,간이운동장,농구장(구일역),126.8703344,37.49309810000001,구로동,구로제1동,H,구로1동,126.87581202489278,37.49302829977519
80,간이운동장,농구장(도림천),126.8894529,37.51049451,신도림동,신도림동,H,신도림동,126.88061022867365,37.507780905043674
81,간이운동장,농구장(동양미래대 앞),126.86772,37.50061626,고척동,고척제1동,H,고척1동,126.86276286677003,37.50035525847666
82,간이운동장,농구장(오류고가하부),126.832521,37.49224739,오류동,오류1동,H,오류2동,126.83950458361203,37.48881469609833
83,간이운동장,가꿀공원,126.987619,37.487916,방배동,서초3동,H,방배4동,126.99248289849378,37.48906042373039
84,간이운동장,개뜰공원,127.041263,37.474016,양재동,양재1동,H,양재2동,127.0412886879359,37.470633217194234
85,간이운동장,개포공원,126.995607,37.58017,와룡동,종로1·2·3·4가동,H,종로1.2.3.4가동,126.99028726084354,37.574435539666744
86,간이운동장,계리공원,127.04056,37.469601,양재동,양재1동,H,양재2동,127.0412886879359,37.470633217194234
87,간이운동장,공항해태,126.815249,37.563555,공항동,공항동,H,공항동,126.79483817099285,37.55591341272746
88,간이운동장,교대공원,127.011636,37.494295,서초동,서초1동,H,서초3동,127.01200750943013,37.48370806396488
89,간이운동장,구룡공원,127.048667,37.471571,양재동,양재1동,H,양재2동,127.0412886879359,37.470633217194234
90,간이운동장,군민회관,126.998732,37.58194500000001,명륜4가,혜화동,H,혜화동,127.0006204504988,37.586855235994356
91,간이운동장,궁현공원,127.010403,37.488366,서초동,서초1동,H,서초3동,127.01200750943013,37.48370806396488
92,간이운동장,나리공원,126.98907,37.505282,반포동,반포본동,H,반포본동,126.9860356113934,37.5004413570286
93,간이운동장,농구골대,126.9222406,37.57312011,남가좌동,남가좌제1동,H,남가좌2동,126.92387430912281,37.57844784858833
94,간이운동장,늘벗공원,126.998041,37.581873,명륜4가,혜화동,H,혜화동,127.0006204504988,37.586855235994356
95,간이운동장,능안공원,127.065688,37.454417,내곡동,내곡동,H,내곡동,127.0769169347293,37.45824631311163
96,간이운동장,당골공원,127.02251,37.485458,서초동,서초1동,H,서초1동,127.01957096253298,37.49007898260848
97,간이운동장,대림경동,126.854735,37.567095,가양동,염창동,H,가양2동,126.85126200422994,37.567379353467736
98,간이운동장,대우효령,126.993357,37.47982,방배동,서초3동,H,방배3동,126.9999954777151,37.478439573373386
99,간이운동장,대진공원,127.078788,37.496073,개포동,개포1동,H,일원2동,127.07369959446872,37.49217318132317
100,간이운동장,대청공원,127.083375,37.492415,일원동,개포2동,H,일원1동,127.08806917419275,37.49187862508384
101,간이운동장,대치공원,126.997996,37.583404,명륜3가,혜화동,H,혜화동,127.0006204504988,37.586855235994356
102,간이운동장,댓골마당,126.908695,37.459986,시흥동,시흥제1동,H,시흥4동,126.90619588118409,37.4590450263828
103,간이운동장,도산공원,127.035603,37.52395300000001,신사동,신사제1동,H,압구정동,127.03080917042102,37.53066864143361
104,간이운동장,도시공원,126.965819,37.492815,사당동,사당제1동,H,사당3동,126.97208541295585,37.48662464363699
105,간이운동장,도시공원,126.941074,37.493623,상도동,상도제1동,H,상도4동,126.93780477122809,37.50055915874939
106,간이운동장,도시공원,126.960646,37.497433,상도동,상도제1동,H,상도1동,126.94974533151786,37.50323181885924
107,간이운동장,도시공원,126.960352,37.498614,흑석동,흑석동,H,흑석동,126.96659075316671,37.505775015361046
108,간이운동장,도시공원,126.961267,37.499155,흑석동,흑석동,H,흑석동,126.96659075316671,37.505775015361046
109,간이운동장,도시공원,126.957512,37.499721,흑석동,흑석동,H,흑석동,126.96659075316671,37.505775015361046
110,간이운동장,도시공원,126.955504,37.491945,상도동,상도제1동,H,상도1동,126.94974533151786,37.50323181885924
111,간이운동장,도시공원,126.973524,37.486593,사당동,사당제1동,H,사당3동,126.97208541295585,37.48662464363699
112,간이운동장,도시공원,126.940882,37.493353000000006,상도동,상도제1동,H,상도4동,126.93780477122809,37.50055915874939
113,간이운동장,도시공원,126.96388600000002,37.485983,사당동,사당제1동,H,사당5동,126.9670158182174,37.48562501998758
114,간이운동장,도시공원,126.941662,37.493497,상도동,상도제1동,H,상도4동,126.93780477122809,37.50055915874939
115,간이운동장,도시공원,126.926738,37.507754,대방동,대방동,H,대방동,126.92634350000763,37.50816426100698
116,간이운동장,도시공원,126.936677,37.491837,봉천동,보라매동,H,보라매동,126.93278559962936,37.48818378387284
117,간이운동장,도시공원,126.963908,37.48741500000001,사당동,사당제1동,H,사당5동,126.9670158182174,37.48562501998758
118,간이운동장,도시공원,126.929589,37.510855,대방동,대방동,H,대방동,126.92634350000763,37.50816426100698
119,간이운동장,도시공원,126.941063,37.492992,상도동,상도제1동,H,상도4동,126.93780477122809,37.50055915874939
120,간이운동장,도시공원,126.93957,37.493893,상도동,상도제1동,H,상도4동,126.93780477122809,37.50055915874939
121,간이운동장,도시공원,126.95367,37.513568,본동,노량진제1동,H,노량진1동,126.9420162213609,37.51230680241965
122,간이운동장,도시공원,126.981702,37.499799,동작동,사당제2동,H,사당2동,126.97925342785726,37.48875249863833
123,간이운동장,도시공원,126.948152,37.498751,상도동,상도제1동,H,상도1동,126.94974533151786,37.50323181885924
124,간이운동장,도시공원,126.972239,37.49332800000001,동작동,사당제2동,H,사당2동,126.97925342785726,37.48875249863833
125,간이운동장,도시공원,126.926738,37.507754,대방동,대방동,H,대방동,126.92634350000763,37.50816426100698
126,간이운동장,도시공원,126.975733,37.49514,동작동,사당제2동,H,사당2동,126.97925342785726,37.48875249863833
127,간이운동장,도시공원,126.971312,37.493202,사당동,사당제1동,H,사당3동,126.97208541295585,37.48662464363699
128,간이운동장,도시공원,126.967733,37.480302,사당동,사당제1동,H,사당4동,126.9716352675573,37.480984222755986
129,간이운동장,도시공원,126.939582,37.493325,상도동,상도제1동,H,상도3동,126.93132819151172,37.499204062402576
130,간이운동장,도시공원,126.977846,37.49769000000001,동작동,사당제2동,H,사당2동,126.97925342785726,37.48875249863833
131,간이운동장,도시공원,126.967733,37.480302,사당동,사당제1동,H,사당4동,126.9716352675573,37.480984222755986
132,간이운동장,독골공원,127.046837,37.484575,도곡동,도곡1동,H,도곡2동,127.04638382177308,37.483728401661516
133,간이운동장,동문공원,127.02677,37.472722,우면동,양재1동,H,양재1동,127.02672880394384,37.47163933132787
134,간이운동장,동산공원,127.045051,37.47136,양재동,양재1동,H,양재2동,127.0412886879359,37.470633217194234
135,간이운동장,뒷벌공원,126.986892,37.489878,방배동,서초3동,H,방배4동,126.99248289849378,37.48906042373039
136,간이운동장,만남공원,126.985769,37.501591,반포동,반포본동,H,반포본동,126.9860356113934,37.5004413570286
137,간이운동장,미도공원,127.010766,37.501764,반포동,반포본동,H,반포4동,127.00030759341732,37.49747606930116
138,간이운동장,미래푸메,126.994664,37.481114,방배동,서초3동,H,방배1동,126.99450958540659,37.48336976730155
139,간이운동장,미륵공원,127.057895,37.447456,신원동,내곡동,H,내곡동,127.0769169347293,37.45824631311163
140,간이운동장,반원공원,127.003678,37.509171,잠원동,잠원동,H,반포3동,127.00354690612721,37.50878543933239
141,간이운동장,반월공원,126.84906,37.523455,신월동,신월1동,H,신월2동,126.84458121372907,37.524980584185506
142,간이운동장,반포리체,127.012454,37.504467,반포동,반포본동,H,반포1동,127.01337714858089,37.50509061438031
143,간이운동장,반포자이,127.013377,37.505094,반포동,반포본동,H,반포1동,127.01337714858089,37.50509061438031
144,간이운동장,반포주공,126.985769,37.501591,반포동,반포본동,H,반포본동,126.9860356113934,37.5004413570286
145,간이운동장,반포주공,126.9835,37.501998,반포동,반포본동,H,반포본동,126.9860356113934,37.5004413570286
146,간이운동장,방현공원,126.991629,37.478227,방배동,서초3동,H,방배3동,126.9999954777151,37.478439573373386
147,간이운동장,방화동성,126.812593,37.579408,방화동,공항동,H,방화3동,126.81355003364565,37.578743210924834
148,간이운동장,봉은공원,126.999185,37.581873,명륜4가,혜화동,H,혜화동,127.0006204504988,37.586855235994356
149,간이운동장,비석공원,127.041029,37.478728,양재동,양재1동,H,양재1동,127.02672880394384,37.47163933132787
150,간이운동장,새말공원,126.988669,37.493331,방배동,서초3동,H,방배본동,126.98888640898693,37.49421750651512
151,간이운동장,새터공원,127.006831,37.507973,잠원동,잠원동,H,반포3동,127.00354690612721,37.50878543933239
152,간이운동장,샛별공원,127.044743,37.470338,양재동,양재1동,H,양재2동,127.0412886879359,37.470633217194234
153,간이운동장,서원공원,126.999276,37.483285,방배동,서초3동,H,방배1동,126.99450958540659,37.48336976730155
154,간이운동장,서초자이,127.020149,37.484851,서초동,서초1동,H,서초1동,127.01957096253298,37.49007898260848
155,간이운동장,신동공원,127.01458,37.514063,잠원동,잠원동,H,잠원동,127.01410282023416,37.51491868802903
156,간이운동장,신사공원,126.997532,37.583765,명륜3가,혜화동,H,혜화동,127.0006204504988,37.586855235994356
157,간이운동장,아름공원,127.004716,37.507342,잠원동,잠원동,H,반포3동,127.00354690612721,37.50878543933239
