행정동,경도,위도,시설명
돈암1동,127.023636,37.600528,성북
돈암1동,127.0257184,37.59741206,개운산
망우3동,127.0952,37.59217,달동산
반포본동,126.991238,37.500712,푸른공원
반포본동,126.986158,37.500349,반포본동주민센터
반포본동,126.987332,37.504209,나리
부암동,126.9612391,37.60158549,홍제천1체육시설
성내3동,127.134773,37.531369,성안공원
역촌동,126.915551,37.599552,자투리(녹번)마을마당
역촌동,126.918478,37.601073,대조어린이공원
역촌동,126.916513,37.608641,궁말어린이공원
오륜동,127.115518,37.520341,올림픽공원
일원1동,127.0826513,37.49257812,대청근린공원
일원1동,127.0881961,37.49209477,일원까치공원
일원1동,127.085475,37.491417,일원목련공원
잠실7동,127.0759347,37.51068203,아시아
장위2동,127.051625,37.614919,장위2동 감나무쉼터
중곡3동,127.0848034,37.56777776,중곡문화체육센터수영장
홍제3동,126.9463425,37.59298781,홍제교 좌안 상류 간이운동장
홍제3동,126.952997,37.594742,홍제근린공원
홍제3동,126.948142,37.59743951,불천어린이공원
